product_code,precio_unidad,is_mock
PSQ-0006,7954.21,true
PSQ-0009,3082.27,true
PSQ-0012,1812.82,true
PSQ-0013,13307.74,true
PSQ-0014,2060.02,true
PSQ-0016,1489.18,true
PSQ-0017,10423.70,true
PSQ-0051,1884.40,true
PSQ-0052,1721.43,true
PSQ-0054,3697.50,true
PSQ-0058,5076.40,true
PSQ-0071,1284.80,true
PSQ-0073,2250.30,true
PSQ-0091,3201.45,true
PSQ-0110,2733.21,true
PSQ-0112,4910.14,true
PSQ-0121,1847.05,true
PSQ-0141,1364.27,true
PSQ-0174,689.13,true
PSQ-0175,3448.82,true
PSQ-0180,1001.04,true
PSQ-0191,1109.25,true
PSQ-0198,6636.55,true
PSQ-0199,18852.75,true
PSQ-0201,6345.79,true
PSQ-0204,19873.95,true
PSQ-0205,19092.83,true
PSQ-0212,1678.92,true
PSQ-0215,3003.64,true
PSQ-0218,4843.74,true
PSQ-0271,4416.69,true
PSQ-0281,3267.97,true
PSQ-0291,1326.28,true
PSQ-0295,1670.99,true
PSQ-0297,1232.71,true
PSQ-0310,1656.23,true
PSQ-0317,1070.44,true
PSQ-0318,4578.56,true
PSQ-0329,964.15,true
PSQ-0330,723.21,true
PSQ-0342,7395.00,true
PSQ-0348,6213.43,true
PSQ-0405,549.34,true
PSQ-0435,1004.55,true
PSQ-0436,3043.14,true
PSQ-0437,971.67,true
PSQ-0439,3523.63,true
PSQ-0453,791.04,true
PSQ-0454,2179.86,true
PSQ-0457,585.17,true
PSQ-0462,1420.94,true
PSQ-0485,1861.99,true
PSQ-0487,1038.55,true
PSQ-0520,1269.84,true
PSQ-0524,5602.27,true
PSQ-0536,3992.13,true
PSQ-0538,2377.40,true
PSQ-0542,659.21,true
PSQ-0543,1898.36,true
PSQ-0550,1462.84,true
PSQ-0551,1828.55,true
PSQ-0561,3774.52,true
PSQ-0569,2148.07,true
PSQ-0574,824.01,true
PSQ-0576,1159.09,true
PSQ-0580,1274.65,true
PSQ-0582,1814.50,true
PSQ-0583,4247.54,true
PSQ-0592,654.71,true
PSQ-0616,1119.05,true
PSQ-0618,1619.56,true
PSQ-0619,6828.20,true
PSQ-0633,1935.33,true
PSQ-0645,5861.12,true
PSQ-0648,6417.15,true
PSQ-0649,6097.52,true
PSQ-0650,37090.91,true
PSQ-0651,32595.04,true
PSQ-0653,55279.15,true
PSQ-0658,47873.96,true
PSQ-0660,36511.37,true
PSQ-0663,20672.00,true
PSQ-0666,12796.48,true
PSQ-0684,7837.76,true
PSQ-0686,3566.34,true
PSQ-0687,981.01,true
PSQ-0712,2360.42,true
PSQ-0717,7894.11,true
PSQ-0721,1074.09,true
PSQ-0727,765.99,true
PSQ-0732,415.83,true
PSQ-0735,7032.23,true
PSQ-0736,2108.72,true
PSQ-0737,2847.32,true
PSQ-0738,3472.33,true
PSQ-0742,4021.86,true
PSQ-0751,1526.86,true
PSQ-0757,372.44,true
PSQ-0759,542.62,true
PSQ-0763,952.38,true
