product_code,nombre,precio_lista_1,stock,unidades_por_bulto,unidad_minima_de_venta,umv_tipo,categoria_1,categoria_2,categoria_3,categoria_4,aliases,rotacion_index,mental_priority,descripcion,image_url,en_catalogo,is_mock,fuente_hoja
PSQ-0006,AGITADOR DE CAFE MADERA IBERIA 11CM X 1500 U,9357.89,50,1500,paquete,unidad,Descartables,Gastronomía,Cubiertos y vasos,Delivery,PSQ-0006|AGITADOR DE CAFE MADERA IBERIA 11CM X 1500 U|agitador de cafe madera iberia 11cm x 1500 u|Iberia|Iberia agitador|paquete|caja|bulto,0.40,0.40,"Agitador de cafe madera iberia 11cm x 1500 u, marca Iberia, gastronomía, paquete x1500, lista B.",,true,true,LISTA B
PSQ-0009,ALA EN POLVO 800GRS,3626.20,50,1,unidad,unidad,Limpieza,Marcas de góndola,Terceros,Supermercado,PSQ-0009|ALA EN POLVO 800GRS|ala en polvo 800grs|Ala|Ala ala|unidad,0.55,0.55,"Ala en polvo 800grs, marca Ala, marcas de góndola, venta por unidad, lista B.",,true,true,LISTA B
PSQ-0012,ALCOHOL EN GEL 1LT,2132.73,50,1,unidad,unidad,Limpieza,Líquidos,Bidón 1 L / 5 L,PSQ,PSQ-0012|ALCOHOL EN GEL 1LT|alcohol en gel 1lt|PSQ|PSQ alcohol|unidad|litro|1 litro,0.40,0.40,"Alcohol en gel 1lt, marca PSQ, líquidos, venta por unidad, lista B.",,true,true,LISTA B
PSQ-0013,ALCOHOL EN GEL X5L,15656.16,50,1,unidad,unidad,Limpieza,Líquidos,Bidón 1 L / 5 L,PSQ,PSQ-0013|ALCOHOL EN GEL X5L|alcohol en gel x5l|PSQ|PSQ alcohol|unidad|bidón 5 litros|bidon 5 litros,0.40,0.40,"Alcohol en gel x5l, marca PSQ, líquidos, venta por unidad, lista B.",,true,true,LISTA B
PSQ-0014,ALGUICIDA 1:60000 X1L,2423.55,50,1,unidad,unidad,Pileta,Tratamiento de agua,Cloro,PSQ,PSQ-0014|ALGUICIDA 1:60000 X1L|alguicida 1:60000 x1l|PSQ|PSQ alguicida|unidad|litro|1 litro,0.48,0.48,"Alguicida 1:60000 x1l, marca PSQ, tratamiento de agua, venta por unidad, lista B.",,true,true,LISTA B
PSQ-0016,ANTI-HONGOS GATILLO 500ML PSQ,1751.98,260,1,unidad,unidad,Limpieza,Línea PSQ,Gatillo / listo para usar,PSQ,PSQ-0016|ANTI-HONGOS GATILLO 500ML PSQ|anti-hongos gatillo 500ml psq|PSQ|PSQ anti-hongos|unidad|gatillo|con gatillo,0.90,0.90,"Anti-hongos gatillo 500ml PSQ, marca PSQ, línea psq, venta por unidad, lista B.",,true,true,LISTA B
PSQ-0017,ANTI-HONGOS X 5LTS PSQUIMICA,12263.18,260,1,unidad,unidad,Limpieza,Línea PSQ,Gatillo / listo para usar,PSQ,PSQ-0017|ANTI-HONGOS X 5LTS PSQUIMICA|anti-hongos x 5lts psquimica|PSQ|PSQ anti-hongos|unidad|bidón 5 litros|bidon 5 litros,0.90,0.90,"Anti-hongos x 5lts PSQUIMICA, marca PSQ, línea psq, venta por unidad, lista B.",,true,true,LISTA B
PSQ-0051,AYUDIN CANASTAS P/INOD,2216.94,50,1,unidad,unidad,Limpieza,Marcas de góndola,Terceros,Supermercado,PSQ-0051|AYUDIN CANASTAS P/INOD|ayudin canastas p/inod|Ayudin|Ayudin ayudin|unidad,0.55,0.55,"Ayudin canastas p/inod, marca Ayudin, marcas de góndola, venta por unidad, lista B.",,true,true,LISTA B
PSQ-0052,BALDE 10LTS,2025.21,140,1,unidad,unidad,Limpieza,Herramientas,Piso,Hogar,PSQ-0052|BALDE 10LTS|balde 10lts|PSQ|PSQ balde|unidad,0.74,0.74,"Balde 10lts, marca PSQ, herramientas, venta por unidad, lista B.",,true,true,LISTA B
PSQ-0054,BALDE C/ ESCURRIDOR HACENDOZA 9L,4350.00,140,1,unidad,unidad,Limpieza,Herramientas,Piso,Hogar,PSQ-0054|BALDE C/ ESCURRIDOR HACENDOZA 9L|balde c/ escurridor hacendoza 9l|Hacendoza|Hacendoza balde|unidad,0.74,0.74,"Balde c/ escurridor hacendoza 9l, marca Hacendoza, herramientas, venta por unidad, lista B.",,true,true,LISTA B
