codigo_producto,nombre,descripcion_original,descripcion_mejorada,alias_propuestos,accion
PSQ-0012,ALCOHOL EN GEL 1LT,"Alcohol en gel 1lt, marca PSQ, líquidos, venta por unidad, lista B.","Alcohol en gel, marca PSQ, 1 lt.",PSQ-0012|alcohol en gel 1lt|psq|litro|x1,ACTUALIZAR
PSQ-0013,ALCOHOL EN GEL X5L,"Alcohol en gel x5l, marca PSQ, líquidos, venta por unidad, lista B.","Alcohol en gel, marca PSQ, 5 l.",PSQ-0013|alcohol en gel x5l|psq|bidón 5 litros|x5,ACTUALIZAR
PSQ-0014,ALGUICIDA 1:60000 X1L,"Alguicida 1:60000 x1l, marca PSQ, tratamiento de agua, venta por unidad, lista B.","Alguicida 1:60000 para pileta, marca PSQ, 1 l.",PSQ-0014|alguicida 1:60000 x1l|psq|litro|x1,ACTUALIZAR
PSQ-0016,ANTI-HONGOS GATILLO 500ML PSQ,"Anti-hongos gatillo 500ml PSQ, marca PSQ, línea psq, venta por unidad, lista B.","Limpiador antihongos con gatillo, marca PSQ, 500 ml.",PSQ-0016|anti-hongos gatillo 500ml psq|psq|gatillo|con gatillo,ACTUALIZAR
PSQ-0017,ANTI-HONGOS X 5LTS PSQUIMICA,"Anti-hongos x 5lts PSQUIMICA, marca PSQ, línea psq, venta por unidad, lista B.","Limpiador antihongos en bidón, marca PSQ, 5 lts.",PSQ-0017|anti-hongos x 5lts psquimica|psq|bidón 5 litros|x5,ACTUALIZAR
PSQ-0051,AYUDIN CANASTAS P/INOD,"Ayudin canastas p/inod, marca Ayudin, marcas de góndola, venta por unidad, lista B.","Canasta para inodoro, marca Ayudín.",PSQ-0051|ayudin canastas p/inod|ayudín,ACTUALIZAR
PSQ-0058,BANDEJA 101 PP X 100 (12),"Bandeja 101 pp x 100 (12), marca PSQ, gastronomía, caja x12, lista B.","Bandeja gastronómica PP modelo 101, paquete x100, marca PSQ.",PSQ-0058|bandeja 101 pp x 100 (12)|psq|caja|paquete|bulto,ACTUALIZAR
PSQ-0071,BANDEJA DE CARTON N2,"Bandeja de carton n2, marca PSQ, gastronomía, venta por unidad, lista B.","Bandeja de cartón N2 para gastronomía, marca PSQ.",PSQ-0071|bandeja de carton n2|psq|caja|paquete|bulto,ACTUALIZAR
PSQ-0073,BANDEJA DE CARTON N4,"Bandeja de carton n4, marca PSQ, gastronomía, venta por unidad, lista B.","Bandeja de cartón N4 para gastronomía, marca PSQ.",PSQ-0073|bandeja de carton n4|psq|caja|paquete|bulto,ACTUALIZAR
PSQ-0091,BLOQUE HARPIC X 1UNI,"Bloque harpic x 1uni, marca Harpic, marcas de góndola, venta por unidad, lista B.","Bloque para inodoro, marca Harpic, 1 unidad, paquete x1.",PSQ-0091|bloque harpic x 1uni|harpic,ACTUALIZAR
PSQ-0110,BOLSA KRAFT DELIVERY N°4 12.5 X 7 X 24 X 50 U (20),"Bolsa kraft delivery n°4 12.5 x 7 x 24 x 50 u (20), marca PSQ, kraft / delivery, paquete x20, lista B.","Bolsa kraft delivery N4, paquete x50, marca PSQ.",PSQ-0110|bolsa kraft delivery n°4 12.5 x 7 x 24 x 50 u (20)|psq|paquete|bolsa|bulto,ACTUALIZAR
PSQ-0112,BOLSA KRAFT DELIVERY N°6 20 X 11 X 30 X 50 U (5),"Bolsa kraft delivery n°6 20 x 11 x 30 x 50 u (5), marca PSQ, kraft / delivery, paquete x5, lista B.","Bolsa kraft delivery N6, paquete x50, marca PSQ.",PSQ-0112|bolsa kraft delivery n°6 20 x 11 x 30 x 50 u (5)|psq|paquete|bolsa|bulto,ACTUALIZAR
PSQ-0141,BOLSA PPP 20 X 30 X 100 U(10),"Bolsa ppp 20 x 30 x 100 u(10), marca PSQ, ppp, paquete x10, lista B.","Bolsa polipropileno 20x30 cm, paquete x100, marca PSQ.",PSQ-0141|bolsa ppp 20 x 30 x 100 u(10)|psq|paquete|bolsa|bulto,ACTUALIZAR
PSQ-0174,BOLSAS CONSORCIO 60X90 X 10 UNI,"Bolsas consorcio 60x90 x 10 uni, marca PSQ, residuos, paquete x10, lista B.","Bolsas consorcio 60x90 cm, paquete x10, marca PSQ.",PSQ-0174|bolsas consorcio 60x90 x 10 uni|psq|paquete|bolsa|bulto|bolsa consorcio,ACTUALIZAR
PSQ-0175,BOLSAS CONSORCIO 60X90 X 50 UNI,"Bolsas consorcio 60x90 x 50 uni, marca PSQ, residuos, paquete x50, lista B.","Bolsas consorcio 60x90 cm, paquete x50, marca PSQ.",PSQ-0175|bolsas consorcio 60x90 x 50 uni|psq|paquete|bolsa|bulto|bolsa consorcio,ACTUALIZAR
PSQ-0180,BOLSAS RESIDUOS 45X60 X 50 UNI,"Bolsas residuos 45x60 x 50 uni, marca PSQ, residuos, paquete x50, lista B.","Bolsas de residuos 45x60 cm, paquete x50, marca PSQ.",PSQ-0180|bolsas residuos 45x60 x 50 uni|psq|paquete|bolsa|bulto,ACTUALIZAR
PSQ-0191,CABO 1.20MTS,"Cabo 1.20mts, marca PSQ, herramientas, venta por unidad, lista B.","Cabo de 1,20 m para escoba, mopa o secador.",PSQ-0191|cabo 1.20mts|psq,ACTUALIZAR
PSQ-0199,CAJA HAMBURGUEZA MICROCORRUGADA X100U,"Caja hamburgueza microcorrugada x100u, marca PSQ, gastronomía, caja x100, lista B.","Caja de cartón microcorrugado para hamburguesa, x100, marca PSQ.",PSQ-0199|caja hamburgueza microcorrugada x100u|psq|caja|paquete|bulto,ACTUALIZAR
PSQ-0201,CAJA LOMO GRANDE CARTON X 100 (1),"Caja lomo grande carton x 100 (1), marca PSQ, gastronomía, venta por unidad, lista B.","Caja de cartón grande para lomo, x100, marca PSQ.",PSQ-0201|caja lomo grande carton x 100 (1)|psq|caja|paquete|bulto,ACTUALIZAR
PSQ-0204,CAJA PIZZA GRANDE ECO VERDE X 100U (1),"Caja pizza grande eco verde x 100u (1), marca PSQ, gastronomía, caja x100, lista B.","Caja de pizza grande eco verde, x100, marca PSQ.",PSQ-0204|caja pizza grande eco verde x 100u (1)|psq|caja|paquete|bulto,ACTUALIZAR
PSQ-0205,CAJA PIZZA GRIS CORRUGADA X 50U,"Caja pizza gris corrugada x 50u, marca PSQ, gastronomía, caja x50, lista B.","Caja de pizza gris corrugada, x50, marca PSQ.",PSQ-0205|caja pizza gris corrugada x 50u|psq|caja|paquete|bulto,ACTUALIZAR
PSQ-0212,CAMISETA 40 X 50 ECO MUNDI POLIM. X PAQ (20),"Camiseta 40 x 50 eco mundi polim. x paq (20), marca PSQ, camiseta, paquete x20, lista B.","Bolsa camiseta 40 x 50 cm, marca Mundi Polim, caja x20.",PSQ-0212|camiseta 40 x 50 eco mundi polim. x paq (20)|psq|paquete|bolsa|bulto,ACTUALIZAR
PSQ-0215,CAMISETA 45 X 60 MUNDI MAX X PAQ (20),"Camiseta 45 x 60 mundi max x paq (20), marca Mundi Max, camiseta, paquete x20, lista B.","Bolsa camiseta 45 x 60 cm, marca Mundi Max, caja x20.",PSQ-0215|camiseta 45 x 60 mundi max x paq (20)|mundi max|paquete|bolsa|bulto,ACTUALIZAR
