lista_precios_id,nombre,multiplicador_sobre_lista_1,product_code,precio_unidad,is_mock
1,Lista 1,1.00,1001,790.23,false
1,Lista 1,1.00,1003,824.40,false
1,Lista 1,1.00,1005,1050.42,false
1,Lista 1,1.00,1007,1331.00,false
1,Lista 1,1.00,1008,601.86,false
1,Lista 1,1.00,1009,885.36,false
1,Lista 1,1.00,1010,1026.27,false
1,Lista 1,1.00,1012,822.15,false
1,Lista 1,1.00,1013,719.25,false
1,Lista 1,1.00,1014,4861.50,false
1,Lista 1,1.00,1016,6968.85,false
1,Lista 1,1.00,1017,5697.30,false
1,Lista 1,1.00,1019,1199.10,false
1,Lista 1,1.00,1021,479.85,false
1,Lista 1,1.00,2001,643.65,false
1,Lista 1,1.00,2005,592.20,false
1,Lista 1,1.00,2008,2324.70,false
1,Lista 1,1.00,2011,1971.90,false
1,Lista 1,1.00,2014,4177.95,false
1,Lista 1,1.00,2016,4811.10,false
1,Lista 1,1.00,2019,5287.00,false
1,Lista 1,1.00,2022,3944.85,false
1,Lista 1,1.00,3006,10143.00,false
1,Lista 1,1.00,3011,10143.00,false
1,Lista 1,1.00,3014,10143.00,false
1,Lista 1,1.00,3017,10143.00,false
1,Lista 1,1.00,3019,10143.00,false
1,Lista 1,1.00,3020,11796.75,false
1,Lista 1,1.00,3025,10143.00,false
1,Lista 1,1.00,3026,10143.00,false
1,Lista 1,1.00,4001,2211.30,false
1,Lista 1,1.00,4002,1009.47,false
1,Lista 1,1.00,4003,1067.64,false
1,Lista 1,1.00,4005,1029.84,false
1,Lista 1,1.00,4006,1427.37,false
1,Lista 1,1.00,4007,1180.62,false
1,Lista 1,1.00,5001,3607.00,false
1,Lista 1,1.00,5002,990.99,false
1,Lista 1,1.00,5003,550.41,false
1,Lista 1,1.00,5004,7348.00,false
1,Lista 1,1.00,5006,26046.30,false
1,Lista 1,1.00,5009,6352.00,false
1,Lista 1,1.00,5010,750.75,false
1,Lista 1,1.00,5011,5002.20,false
1,Lista 1,1.00,6002,635.88,false
1,Lista 1,1.00,6003,1178.10,false
1,Lista 1,1.00,6005,479.85,false
1,Lista 1,1.00,6006,1500.45,false
1,Lista 1,1.00,6007,948.15,false
1,Lista 1,1.00,6008,841.05,false
1,Lista 1,1.00,6009,841.05,false
1,Lista 1,1.00,6010,841.05,false
1,Lista 1,1.00,6011,4618.95,false
1,Lista 1,1.00,6013,4177.95,false
1,Lista 1,1.00,6015,562.80,false
1,Lista 1,1.00,7001,5268.90,false
1,Lista 1,1.00,7007,855.75,false
1,Lista 1,1.00,7008,841.05,false
1,Lista 1,1.00,7010,492.45,false
1,Lista 1,1.00,7012,6132.00,false
1,Lista 1,1.00,7014,2249.10,false
1,Lista 1,1.00,7015,685.65,false
1,Lista 1,1.00,8001,1932.00,false
1,Lista 1,1.00,8002,8050.35,false
1,Lista 1,1.00,8003,833.70,false
1,Lista 1,1.00,8004,7413.00,false
1,Lista 1,1.00,8005,10419.15,false
1,Lista 1,1.00,8008,4372.20,false
1,Lista 1,1.00,8010,3702.30,false
1,Lista 1,1.00,9003,6646.50,false
1,Lista 1,1.00,9005,2412.90,false
1,Lista 1,1.00,9006,3767.40,false
1,Lista 1,1.00,9008,4142.25,false
1,Lista 1,1.00,9018,856.80,false
1,Lista 1,1.00,9026,9780.75,false
1,Lista 1,1.00,9028,5790.00,false
1,Lista 1,1.00,9029,1200.15,false
1,Lista 1,1.00,9030,1096.20,false
1,Lista 1,1.00,9031,374.85,false
1,Lista 1,1.00,10001,880.00,false
1,Lista 1,1.00,10002,1520.00,false
2,Lista 2,1.15,1001,908.76,true
2,Lista 2,1.15,1003,948.06,true
2,Lista 2,1.15,1005,1207.98,true
2,Lista 2,1.15,1007,1530.65,true
2,Lista 2,1.15,1008,692.14,true
2,Lista 2,1.15,1009,1018.16,true
2,Lista 2,1.15,1010,1180.21,true
2,Lista 2,1.15,1012,945.47,true
2,Lista 2,1.15,1013,827.14,true
2,Lista 2,1.15,1014,5590.72,true
2,Lista 2,1.15,1016,8014.18,true
2,Lista 2,1.15,1017,6551.89,true
2,Lista 2,1.15,1019,1378.96,true
2,Lista 2,1.15,1021,551.83,true
2,Lista 2,1.15,2001,740.20,true
2,Lista 2,1.15,2005,681.03,true
2,Lista 2,1.15,2008,2673.40,true
2,Lista 2,1.15,2011,2267.68,true
2,Lista 2,1.15,2014,4804.64,true
2,Lista 2,1.15,2016,5532.77,true
2,Lista 2,1.15,2019,6080.05,true
2,Lista 2,1.15,2022,4536.58,true
2,Lista 2,1.15,3006,11664.45,true
2,Lista 2,1.15,3011,11664.45,true
2,Lista 2,1.15,3014,11664.45,true
2,Lista 2,1.15,3017,11664.45,true
2,Lista 2,1.15,3019,11664.45,true
2,Lista 2,1.15,3020,13566.26,true
2,Lista 2,1.15,3025,11664.45,true
2,Lista 2,1.15,3026,11664.45,true
2,Lista 2,1.15,4001,2542.99,true
2,Lista 2,1.15,4002,1160.89,true
2,Lista 2,1.15,4003,1227.79,true
2,Lista 2,1.15,4005,1184.32,true
2,Lista 2,1.15,4006,1641.48,true
2,Lista 2,1.15,4007,1357.71,true
2,Lista 2,1.15,5001,4148.05,true
2,Lista 2,1.15,5002,1139.64,true
2,Lista 2,1.15,5003,632.97,true
2,Lista 2,1.15,5004,8450.20,true
2,Lista 2,1.15,5006,29953.24,true
2,Lista 2,1.15,5009,7304.80,true
2,Lista 2,1.15,5010,863.36,true
2,Lista 2,1.15,5011,5752.53,true
2,Lista 2,1.15,6002,731.26,true
2,Lista 2,1.15,6003,1354.81,true
2,Lista 2,1.15,6005,551.83,true
2,Lista 2,1.15,6006,1725.52,true
2,Lista 2,1.15,6007,1090.37,true
2,Lista 2,1.15,6008,967.21,true
2,Lista 2,1.15,6009,967.21,true
2,Lista 2,1.15,6010,967.21,true
2,Lista 2,1.15,6011,5311.79,true
2,Lista 2,1.15,6013,4804.64,true
2,Lista 2,1.15,6015,647.22,true
2,Lista 2,1.15,7001,6059.23,true
2,Lista 2,1.15,7007,984.11,true
2,Lista 2,1.15,7008,967.21,true
2,Lista 2,1.15,7010,566.32,true
2,Lista 2,1.15,7012,7051.80,true
2,Lista 2,1.15,7014,2586.46,true
2,Lista 2,1.15,7015,788.50,true
2,Lista 2,1.15,8001,2221.80,true
2,Lista 2,1.15,8002,9257.90,true
2,Lista 2,1.15,8003,958.75,true
2,Lista 2,1.15,8004,8524.95,true
2,Lista 2,1.15,8005,11982.02,true
2,Lista 2,1.15,8008,5028.03,true
2,Lista 2,1.15,8010,4257.64,true
2,Lista 2,1.15,9003,7643.47,true
2,Lista 2,1.15,9005,2774.84,true
2,Lista 2,1.15,9006,4332.51,true
2,Lista 2,1.15,9008,4763.59,true
2,Lista 2,1.15,9018,985.32,true
2,Lista 2,1.15,9026,11247.86,true
2,Lista 2,1.15,9028,6658.50,true
2,Lista 2,1.15,9029,1380.17,true
2,Lista 2,1.15,9030,1260.63,true
2,Lista 2,1.15,9031,431.08,true
2,Lista 2,1.15,10001,1012.00,true
2,Lista 2,1.15,10002,1748.00,true
3,Lista 3,0.90,1001,711.21,true
3,Lista 3,0.90,1003,741.96,true
3,Lista 3,0.90,1005,945.38,true
3,Lista 3,0.90,1007,1197.90,true
3,Lista 3,0.90,1008,541.67,true
3,Lista 3,0.90,1009,796.82,true
3,Lista 3,0.90,1010,923.64,true
3,Lista 3,0.90,1012,739.93,true
3,Lista 3,0.90,1013,647.33,true
3,Lista 3,0.90,1014,4375.35,true
3,Lista 3,0.90,1016,6271.97,true
3,Lista 3,0.90,1017,5127.57,true
3,Lista 3,0.90,1019,1079.19,true
3,Lista 3,0.90,1021,431.87,true
3,Lista 3,0.90,2001,579.28,true
3,Lista 3,0.90,2005,532.98,true
3,Lista 3,0.90,2008,2092.23,true
