pedido_ref,cliente_codigo,cliente_phone,cliente_razon_social,fecha,estado,total,notas,is_mock,es_pedido_abierto,lista_precios_id
P-00001,25001,5493587905250,Revendedor El Palmar,2026-03-01 08:00:00,confirmado,68966.34,Pedido historico mock - Revendedor El Palmar,true,false,2
P-00002,25001,5493587905250,Revendedor El Palmar,2026-03-18 09:19:07,entregado,39576.67,Pedido historico mock - Revendedor El Palmar,true,false,2
P-00003,25001,5493587905250,Revendedor El Palmar,2026-04-04 10:38:14,facturado,91383.44,Pedido historico mock - Revendedor El Palmar,true,false,2
P-00004,25002,5493582641213,Droguería Banda Norte,2026-03-08 11:11:23,entregado,44802.61,Pedido historico mock - Droguería Banda Norte,true,false,3
P-00005,25002,5493582641213,Droguería Banda Norte,2026-03-25 12:30:30,facturado,23477.67,Pedido historico mock - Droguería Banda Norte,true,false,3
P-00006,25002,5493582641213,Droguería Banda Norte,2026-04-11 13:49:37,confirmado,9107.14,Pedido historico mock - Droguería Banda Norte,true,false,3
P-00007,25003,5492991227644,Distribuidora Soap Clean Centro,2026-03-15 14:22:46,facturado,12427.50,Pedido historico mock - Distribuidora Soap Clean Centro,true,false,4
P-00008,25003,5492991227644,Distribuidora Soap Clean Centro,2026-04-01 15:41:53,confirmado,18081.04,Pedido historico mock - Distribuidora Soap Clean Centro,true,false,4
P-00009,25003,5492991227644,Distribuidora Soap Clean Centro,2026-04-18 16:00:00,entregado,11867.65,Pedido historico mock - Distribuidora Soap Clean Centro,true,false,4
P-00010,25004,5493418277249,Ferretería Don Santos,2026-03-22 17:33:09,confirmado,3364.20,Pedido historico mock - Ferretería Don Santos,true,false,1
P-00011,25004,5493418277249,Ferretería Don Santos,2026-04-08 08:52:16,entregado,12630.45,Pedido historico mock - Ferretería Don Santos,true,false,1
P-00012,25004,5493418277249,Ferretería Don Santos,2026-04-25 09:11:23,facturado,5903.10,Pedido historico mock - Ferretería Don Santos,true,false,1
P-00013,25005,5493587747641,Casa de Limpieza Sabattini,2026-03-29 10:44:32,entregado,14354.76,Pedido historico mock - Casa de Limpieza Sabattini,true,false,2
P-00014,25005,5493587747641,Casa de Limpieza Sabattini,2026-04-15 11:03:39,facturado,34155.90,Pedido historico mock - Casa de Limpieza Sabattini,true,false,2
P-00015,25005,5493587747641,Casa de Limpieza Sabattini,2026-05-02 12:22:46,confirmado,35946.06,Pedido historico mock - Casa de Limpieza Sabattini,true,false,2
P-00016,25006,5492614053074,Mayorista Villa Nueva,2026-04-05 13:55:55,facturado,13562.64,Pedido historico mock - Mayorista Villa Nueva,true,false,3
P-00017,25006,5492614053074,Mayorista Villa Nueva,2026-04-22 14:14:02,confirmado,7189.78,Pedido historico mock - Mayorista Villa Nueva,true,false,3
P-00018,25006,5492614053074,Mayorista Villa Nueva,2026-05-09 15:33:09,entregado,21101.67,Pedido historico mock - Mayorista Villa Nueva,true,false,3
P-00019,25007,5493514079279,Perfumería Las Playas,2026-04-12 16:06:18,confirmado,7817.41,Pedido historico mock - Perfumería Las Playas,true,false,4
P-00020,25007,5493514079279,Perfumería Las Playas,2026-04-29 17:25:25,entregado,4481.94,Pedido historico mock - Perfumería Las Playas,true,false,4
P-00021,25007,5493514079279,Perfumería Las Playas,2026-05-16 08:44:32,facturado,35583.79,Pedido historico mock - Perfumería Las Playas,true,false,4
P-00022,25008,5493876914178,Corralón Almirante Brown,2026-04-19 09:17:41,entregado,5790.00,Pedido historico mock - Corralón Almirante Brown,true,false,1
P-00023,25008,5493876914178,Corralón Almirante Brown,2026-05-06 10:36:48,facturado,2356.20,Pedido historico mock - Corralón Almirante Brown,true,false,1
P-00024,25008,5493876914178,Corralón Almirante Brown,2026-05-23 11:55:55,confirmado,62785.80,Pedido historico mock - Corralón Almirante Brown,true,false,1
P-00025,25009,5492617175545,Minimercado El Ctalamochita,2026-04-26 12:28:04,facturado,44008.30,Pedido historico mock - Minimercado El Ctalamochita,true,false,2
P-00026,25009,5492617175545,Minimercado El Ctalamochita,2026-05-13 13:47:11,confirmado,23001.20,Pedido historico mock - Minimercado El Ctalamochita,true,false,2
P-00027,25009,5492617175545,Minimercado El Ctalamochita,2026-05-30 14:06:18,entregado,2220.60,Pedido historico mock - Minimercado El Ctalamochita,true,false,2
P-00028,25010,5493818437953,Almacén Santa Rosa,2026-05-03 15:39:27,confirmado,19301.42,Pedido historico mock - Almacén Santa Rosa,true,false,3
P-00029,25010,5493818437953,Almacén Santa Rosa,2026-05-20 16:58:34,entregado,5270.81,Pedido historico mock - Almacén Santa Rosa,true,false,3
P-00030,25010,5493818437953,Almacén Santa Rosa,2026-03-06 17:17:41,facturado,52257.56,Pedido historico mock - Almacén Santa Rosa,true,false,3
P-00031,25011,5493582132179,Revendedor Parque de Mayo,2026-05-10 08:50:50,entregado,33479.54,Pedido historico mock - Revendedor Parque de Mayo,true,false,4
P-00032,25011,5493582132179,Revendedor Parque de Mayo,2026-05-27 09:09:57,facturado,714.89,Pedido historico mock - Revendedor Parque de Mayo,true,false,4
P-00033,25011,5493582132179,Revendedor Parque de Mayo,2026-03-13 10:28:04,confirmado,30081.72,Pedido historico mock - Revendedor Parque de Mayo,true,false,4
P-00034,25012,5493872845902,Droguería Yrigoyen,2026-05-17 11:01:13,facturado,8809.29,Pedido historico mock - Droguería Yrigoyen,true,false,1
P-00035,25012,5493872845902,Droguería Yrigoyen,2026-03-03 12:20:20,confirmado,34844.25,Pedido historico mock - Droguería Yrigoyen,true,false,1
P-00036,25012,5493872845902,Droguería Yrigoyen,2026-03-20 13:39:27,entregado,9723.00,Pedido historico mock - Droguería Yrigoyen,true,false,1
P-00037,25013,5492997670210,Distribuidora Río Cuarto Sur,2026-05-24 14:12:36,confirmado,13566.26,Pedido historico mock - Distribuidora Río Cuarto Sur,true,false,2
P-00038,25013,5492997670210,Distribuidora Río Cuarto Sur,2026-03-10 15:31:43,entregado,28189.08,Pedido historico mock - Distribuidora Río Cuarto Sur,true,false,2
P-00039,25013,5492997670210,Distribuidora Río Cuarto Sur,2026-03-27 16:50:50,facturado,100369.90,Pedido historico mock - Distribuidora Río Cuarto Sur,true,false,2
P-00040,25014,5493811657614,Ferretería La Estación,2026-05-31 17:23:59,entregado,46356.02,Pedido historico mock - Ferretería La Estación,true,false,3
P-00041,25014,5493811657614,Ferretería La Estación,2026-03-17 08:42:06,facturado,25543.23,Pedido historico mock - Ferretería La Estación,true,false,3
P-00042,25014,5493811657614,Ferretería La Estación,2026-04-03 09:01:13,confirmado,59013.36,Pedido historico mock - Ferretería La Estación,true,false,3
P-00043,25015,5492994145193,Casa de Limpieza Perón,2026-03-07 10:34:22,facturado,18903.15,Pedido historico mock - Casa de Limpieza Perón,true,false,4
P-00044,25015,5492994145193,Casa de Limpieza Perón,2026-03-24 11:53:29,confirmado,25864.65,Pedido historico mock - Casa de Limpieza Perón,true,false,4
P-00045,25015,5492994145193,Casa de Limpieza Perón,2026-04-10 12:12:36,entregado,13986.21,Pedido historico mock - Casa de Limpieza Perón,true,false,4
P-00046,25016,5493515971311,Mayorista El Cruce,2026-03-14 13:45:45,confirmado,55286.07,Pedido historico mock - Mayorista El Cruce,true,false,1
P-00047,25016,5493515971311,Mayorista El Cruce,2026-03-31 14:04:52,entregado,43114.05,Pedido historico mock - Mayorista El Cruce,true,false,1
P-00048,25016,5493515971311,Mayorista El Cruce,2026-04-17 15:23:59,facturado,3288.60,Pedido historico mock - Mayorista El Cruce,true,false,1
P-00049,25017,5492994228106,Perfumería Centro VM,2026-03-21 16:56:08,entregado,77079.56,Pedido historico mock - Perfumería Centro VM,true,false,2
P-00050,25017,5492994228106,Perfumería Centro VM,2026-04-07 17:15:15,facturado,47358.38,Pedido historico mock - Perfumería Centro VM,true,false,2
