product_code,nombre,precio_lista_1,stock,unidades_por_bulto,unidad_minima_de_venta,umv_tipo,categoria_1,categoria_2,categoria_3,categoria_4,aliases,rotacion_index,mental_priority,descripcion,image_url,en_catalogo,is_mock,fuente_hoja
1,"VIÑAS DE BALBO BLANCO 6X1,125",14200.00,321,6,caja,bulto,Bebidas,Vinos,,,"viñas de balbo blanco 6x1,125|vinos|bebidas|1|caja|bulto|caja x6|bulto x6|blanco|viñas|balbo|6x1",0.93,0.82,"Vino blanco, caja x6 botellas de 1,125 L presentación en pack.",,true,true,Precios / Mostrador -LGSM
2,"GRAN ESTANCIERO PATERO 6X1,125",11600.00,321,6,caja,bulto,Bebidas,Otras,,,"gran estanciero patero 6x1,125|otras|bebidas|2|caja|bulto|caja x6|bulto x6|gran|estanciero|patero|6x1",0.93,0.82,"Bebida, caja x6 botellas de 1,125 L presentación en pack.",,true,true,Precios / Mostrador -LGSM
3,"GRAN ESTANCIERTO CLASICO TINTO 6X1,125",11600.00,321,6,caja,bulto,Bebidas,Vinos,,,"gran estancierto clasico tinto 6x1,125|vinos|bebidas|3|caja|bulto|caja x6|bulto x6|tinto|gran|estancierto|clasico",0.93,0.82,"Vino tinto, caja x6 botellas de 1,125 L presentación en pack.",,true,true,Precios / Mostrador -LGSM
4,ALMA MORA CABERNET 6X750,34100.00,321,6,caja,bulto,Bebidas,Vinos,ALMA MORA,,alma mora cabernet 6x750|vinos|bebidas|4|caja|bulto|caja x6|bulto x6|alma mora|caja alma mora|bulto alma mora|cabernet,0.93,0.82,"Vino cabernet, marca Alma Mora, caja x6 botellas de 750 ml.",,true,true,Precios / Mostrador -LGSM
5,ALMA MORA MALBEC 6X750,34100.00,321,6,caja,bulto,Bebidas,Vinos,ALMA MORA,,alma mora malbec 6x750|vinos|bebidas|5|caja|bulto|caja x6|bulto x6|alma mora|caja alma mora|bulto alma mora|malbec,0.93,0.82,"Vino malbec, marca Alma Mora, caja x6 botellas de 750 ml.",,true,true,Precios / Mostrador -LGSM
7,HERMANOS TORMENTA RELAMPAGO 6X750,31300.00,321,6,caja,bulto,Bebidas,Otras,,,hermanos tormenta relampago 6x750|otras|bebidas|7|caja|bulto|caja x6|bulto x6|hermanos|tormenta|relampago|6x750,0.93,0.82,"Bebida, caja x6 botellas de 750 ml presentación en pack.",,true,true,Precios / Mostrador -LGSM
8,HERMANOS TORMENTA RAYO 6X750,31300.00,321,6,caja,bulto,Bebidas,Otras,,,hermanos tormenta rayo 6x750|otras|bebidas|8|caja|bulto|caja x6|bulto x6|hermanos|tormenta|rayo|6x750,0.93,0.82,"Bebida, caja x6 botellas de 750 ml presentación en pack.",,true,true,Precios / Mostrador -LGSM
9,HERMANOS TORMENTA TRUENO 6X750,31300.00,321,6,caja,bulto,Bebidas,Otras,,,hermanos tormenta trueno 6x750|otras|bebidas|9|caja|bulto|caja x6|bulto x6|hermanos|tormenta|trueno|6x750,0.93,0.82,"Bebida, caja x6 botellas de 750 ml presentación en pack.",,true,true,Precios / Mostrador -LGSM
10,ALMA MORA RESERVA MALBEC 6X750,37300.00,321,6,caja,bulto,Bebidas,Vinos,ALMA MORA,,alma mora reserva malbec 6x750|vinos|bebidas|10|caja|bulto|caja x6|bulto x6|alma mora|caja alma mora|bulto alma mora|malbec,0.93,0.82,"Vino malbec, marca Alma Mora, caja x6 botellas de 750 ml.",,true,true,Precios / Mostrador -LGSM
13,ALAS DEL VALLE BLANCO DULCE 6X750,15300.00,321,6,caja,bulto,Bebidas,Vinos,,,alas del valle blanco dulce 6x750|vinos|bebidas|13|caja|bulto|caja x6|bulto x6|blanco|alas|del|valle,0.93,0.82,"Vino blanco, caja x6 botellas de 750 ml presentación en pack.",,true,true,Precios / Mostrador -LGSM
14,AS DE PICAS MALBEC 6X750,19000.00,321,6,caja,bulto,Bebidas,Vinos,,,as de picas malbec 6x750|vinos|bebidas|14|caja|bulto|caja x6|bulto x6|malbec|picas|6x750,0.93,0.82,"Vino malbec, caja x6 botellas de 750 ml presentación en pack.",,true,true,Precios / Mostrador -LGSM
17,CENIZA NEGRA MALBEC 6X750,16300.00,321,6,caja,bulto,Bebidas,Vinos,,,ceniza negra malbec 6x750|vinos|bebidas|17|caja|bulto|caja x6|bulto x6|malbec|ceniza|negra|6x750,0.93,0.82,"Vino malbec, caja x6 botellas de 750 ml presentación en pack.",,true,true,Precios / Mostrador -LGSM
18,HUELLA PAMPA BLANCO DULCE 6X750,15200.00,319,6,caja,bulto,Bebidas,Vinos,,,huella pampa blanco dulce 6x750|vinos|bebidas|18|caja|bulto|caja x6|bulto x6|blanco|huella|pampa|dulce,0.92,0.81,"Vino blanco, caja x6 botellas de 750 ml presentación en pack.",,true,true,Precios / Mostrador -LGSM
