product_code,nombre,precio_lista_1,stock,unidades_por_bulto,unidad_minima_de_venta,umv_tipo,categoria_1,categoria_2,categoria_3,categoria_4,aliases,rotacion_index,mental_priority,descripcion,image_url,en_catalogo,is_mock,fuente_hoja
2014,AGUA MARINARO 12X500,8100.00,349,12,caja,bulto,Bebidas,Aguas,Marinaro,Agua,agua marinaro 12x500|aguas|bebidas|2014|caja|bulto|caja x12|bulto x12|marinaro|caja marinaro|bulto marinaro|agua,0.95,0.84,"Agua mineral, marca Marinaro, caja x12 botellas de 500 ml.",,true,true,Precios / Mostrador -LGSM
3012,MARINARO COLA 12X500,9200.00,349,12,caja,bulto,Bebidas,Gaseosas,Marinaro,Cola,marinaro cola 12x500|gaseosas|bebidas|3012|caja|bulto|caja x12|bulto x12|marinaro|caja marinaro|bulto marinaro|cola,0.95,0.84,"Gaseosa cola, marca Marinaro, caja x12 botellas de 500 ml.",,true,true,Precios / Mostrador -LGSM
3016,MARINARO GRANADINA 12 X 500,9200.00,349,12,caja,bulto,Bebidas,Gaseosas,Marinaro,Granadina,marinaro granadina 12 x 500|gaseosas|bebidas|3016|caja|bulto|caja x12|bulto x12|marinaro|caja marinaro|bulto marinaro|granadina,0.95,0.84,"Gaseosa granadina, marca Marinaro, caja x12 botellas de 500 ml.",,true,true,Precios / Mostrador -LGSM
3019,MARINARO LIMA LIMON 12 X 500,9200.00,349,12,caja,bulto,Bebidas,Gaseosas,Marinaro,Lima Limon,marinaro lima limon 12 x 500|gaseosas|bebidas|3019|caja|bulto|caja x12|bulto x12|marinaro|caja marinaro|bulto marinaro|lima limón,0.95,0.84,"Gaseosa lima limón, marca Marinaro, caja x12 botellas de 500 ml.",,true,true,Precios / Mostrador -LGSM
3021,MARINARO LIMONADA 12 X 500,9200.00,349,12,caja,bulto,Bebidas,Gaseosas,Marinaro,Limonada,marinaro limonada 12 x 500|gaseosas|bebidas|3021|caja|bulto|caja x12|bulto x12|marinaro|caja marinaro|bulto marinaro|limonada,0.95,0.84,"Gaseosa limonada, marca Marinaro, caja x12 botellas de 500 ml.",,true,true,Precios / Mostrador -LGSM
3024,MARINARO MANZANA 12 X 500,9200.00,349,12,caja,bulto,Bebidas,Gaseosas,Marinaro,Manzana,marinaro manzana 12 x 500|gaseosas|bebidas|3024|caja|bulto|caja x12|bulto x12|marinaro|caja marinaro|bulto marinaro|manzana,0.95,0.84,"Gaseosa manzana, marca Marinaro, caja x12 botellas de 500 ml.",,true,true,Precios / Mostrador -LGSM
3027,MARINARO NARANJA 12 X 500,9200.00,349,12,caja,bulto,Bebidas,Gaseosas,Marinaro,Naranja,marinaro naranja 12 x 500|gaseosas|bebidas|3027|caja|bulto|caja x12|bulto x12|marinaro|caja marinaro|bulto marinaro|naranja,0.95,0.84,"Gaseosa naranja, marca Marinaro, caja x12 botellas de 500 ml.",,true,true,Precios / Mostrador -LGSM
3031,MARINARO POMELO 12 X 500,9200.00,349,12,caja,bulto,Bebidas,Gaseosas,Marinaro,Pomelo,marinaro pomelo 12 x 500|gaseosas|bebidas|3031|caja|bulto|caja x12|bulto x12|marinaro|caja marinaro|bulto marinaro|pomelo,0.95,0.84,"Gaseosa pomelo, marca Marinaro, caja x12 botellas de 500 ml.",,true,true,Precios / Mostrador -LGSM
3053,MARINARO UVA 12X500,9200.00,349,12,caja,bulto,Bebidas,Gaseosas,Marinaro,Uva,marinaro uva 12x500|gaseosas|bebidas|3053|caja|bulto|caja x12|bulto x12|marinaro|caja marinaro|bulto marinaro|uva,0.95,0.84,"Gaseosa uva, marca Marinaro, caja x12 botellas de 500 ml.",,true,true,Precios / Mostrador -LGSM
4502,SODA MARINARO 12 X 500,8100.00,349,12,caja,bulto,Bebidas,Aguas,Marinaro,Soda,soda marinaro 12 x 500|aguas|bebidas|4502|caja|bulto|caja x12|bulto x12|marinaro|caja marinaro|bulto marinaro|soda,0.95,0.84,"Soda, marca Marinaro, caja x12 botellas de 500 ml presentación en pack.",,true,true,Precios / Mostrador -LGSM
