numero,razon_social,nombre_contacto,phone_number,lista_precios_id,codigo,dia_de_visita,dia_de_entrega,direccion,vendedor_nombre,vendedor_idx,zona_idx,lat,lng,is_mock
1,Despensa Don Ramón,Despensa Don Ramón,549388742104,2,1,lunes,martes,"Zona ZONA SAN PEDRO - San Pedro, Jujuy, Argentina",Facundo Cruz,0,0,-24.229676,-64.870296,true
2,Kiosco El Andino,Kiosco El Andino,549388742105,3,2,lunes,martes,"Zona ZONA SAN PEDRO - San Pedro, Jujuy, Argentina",Facundo Cruz,0,0,-24.229715,-64.864399,true
3,Almacén La Quebrada,Almacén La Quebrada,549388742106,4,3,lunes,martes,"Zona ZONA SAN PEDRO - San Pedro, Jujuy, Argentina",Facundo Cruz,0,0,-24.229522,-64.870511,true
4,Maxikiosco San Pedro,Maxikiosco San Pedro,549388742107,1,4,lunes,martes,"Zona ZONA SAN PEDRO - San Pedro, Jujuy, Argentina",Facundo Cruz,0,0,-24.232280,-64.866884,true
5,Vinoteca Puna,Vinoteca Puna,549388742108,2,5,lunes,martes,"Zona ZONA SAN PEDRO - San Pedro, Jujuy, Argentina",Facundo Cruz,0,0,-24.232516,-64.867497,true
6,Bar El Palomar,Bar El Palomar,549388742109,3,6,lunes,martes,"Zona ZONA SAN PEDRO - San Pedro, Jujuy, Argentina",Facundo Cruz,0,0,-24.233278,-64.861336,true
7,Rotisería Doña Rosa,Rotisería Doña Rosa,549388742110,4,7,lunes,martes,"Zona ZONA SAN PEDRO - San Pedro, Jujuy, Argentina",Facundo Cruz,0,0,-24.232658,-64.862075,true
8,Autoservicio 9 de Julio,Autoservicio 9 de Julio,549388742111,1,8,lunes,martes,"Zona ZONA SAN PEDRO - San Pedro, Jujuy, Argentina",Facundo Cruz,0,0,-24.234023,-64.868811,true
9,Kiosco Marinaro Centro,Kiosco Marinaro Centro,549388742112,2,9,lunes,martes,"Zona ZONA SAN PEDRO - San Pedro, Jujuy, Argentina",Facundo Cruz,0,0,-24.228930,-64.863092,true
10,Despensa El Ramal,Despensa El Ramal,549388742113,3,10,martes,miercoles,"Zona ZONA SAN PEDRO - San Pedro, Jujuy, Argentina",Facundo Cruz,0,1,-24.247022,-64.880761,true
11,Almacén Libertador,Almacén Libertador,549388742114,4,11,martes,miercoles,"Zona ZONA SAN PEDRO - San Pedro, Jujuy, Argentina",Facundo Cruz,0,1,-24.241284,-64.876150,true
12,Kiosco Ledesma,Kiosco Ledesma,549388742115,1,12,martes,miercoles,"Zona ZONA SAN PEDRO - San Pedro, Jujuy, Argentina",Facundo Cruz,0,1,-24.247484,-64.873238,true
13,Maxikiosco Calilegua,Maxikiosco Calilegua,549388742116,2,13,martes,miercoles,"Zona ZONA SAN PEDRO - San Pedro, Jujuy, Argentina",Facundo Cruz,0,1,-24.243761,-64.881912,true
14,Despensa Yuto,Despensa Yuto,549388742117,3,14,martes,miercoles,"Zona ZONA SAN PEDRO - San Pedro, Jujuy, Argentina",Facundo Cruz,0,1,-24.247053,-64.878486,true
15,Almacén Caimancito,Almacén Caimancito,549388742118,4,15,martes,miercoles,"Zona ZONA SAN PEDRO - San Pedro, Jujuy, Argentina",Facundo Cruz,0,1,-24.248527,-64.873783,true
16,Kiosco El Ingenio,Kiosco El Ingenio,549388742119,1,16,martes,miercoles,"Zona ZONA SAN PEDRO - San Pedro, Jujuy, Argentina",Facundo Cruz,0,1,-24.243425,-64.882354,true
17,Vinoteca LGSM,Vinoteca LGSM,549388742120,2,17,martes,miercoles,"Zona ZONA SAN PEDRO - San Pedro, Jujuy, Argentina",Facundo Cruz,0,1,-24.246496,-64.879903,true
18,Bar La Estación,Bar La Estación,549388742121,3,18,martes,miercoles,"Zona ZONA SAN PEDRO - San Pedro, Jujuy, Argentina",Facundo Cruz,0,1,-24.244444,-64.875412,true
