codigo_producto,nombre,descripcion_original,descripcion_mejorada,alias_propuestos,accion
144,PUNA HELIOS BLEND 6X750,"Vino, marca Puna, caja x6 botellas de 750 ml presentación en pack.","Vino tinto blend, marca Puna, presentación caja x 6 botellas de 750 ml.",vino|caja|bulto|blend|puna,ACTUALIZAR
2513,"BAGGIO FRESH LIMONE 6X1,5","Jugo, marca Baggio, caja x6 botellas de 1,5 L presentación en pack.","Agua saborizada con limón, marca Baggio, presentación caja de 6 x 1.5 L.",agua saborizada|agua con sabor|bulto|caja,ACTUALIZAR
2515,"BAGGIO FRESH CERO NARANJA 6X1,5","Jugo naranja, marca Baggio, caja x6 botellas de 1,5 L.","Agua saborizada sin gas Baggio Fresh sabor naranja, pack de 6 x 1,5 L.",agua saborizada|bulto|caja|naranja|baggio,ACTUALIZAR
2516,"BAGGIO FRESH CERO POMELO 6X1,5","Jugo pomelo, marca Baggio, caja x6 botellas de 1,5 L.","Agua saborizada Baggio Fresh cero sabor pomelo, pack de 6 x 1.5 litros.",agua|agua saborizada|bulto|pack|caja,ACTUALIZAR
2517,"BAGGIO FRESH CERO MANZANA 6X1,5","Jugo manzana, marca Baggio, caja x6 botellas de 1,5 L.","Agua saborizada sin azúcar Baggio Fresh manzana, caja de 6 x 1,5 L.",agua saborizada|jugo|bulto|caja|baggio|manzana,ACTUALIZAR
2518,"SIERRA DE LOS PADRES 6X1,5 MANZANA","Agua mineral manzana, marca Sierra de los Padres, caja x6 botellas de 1,5 L.","Agua saborizada manzana, marca Sierra de los Padres, caja de 6 x 1,5 L.",agua saborizada|agua|bulto|caja|manzana|sierra de los padres,ACTUALIZAR
2519,"SIERRA DE LOS PADRES 6X1,5 NARANJA","Agua mineral naranja, marca Sierra de los Padres, caja x6 botellas de 1,5 L.","Agua saborizada sin gas sabor naranja, marca Sierra de los Padres, caja de 6x1,5L.",agua|agua saborizada|bulto|caja|sabor naranja,ACTUALIZAR
2520,"SIERRA DE LOS PADRES 6X1,5 POMELO","Agua mineral pomelo, marca Sierra de los Padres, caja x6 botellas de 1,5 L.","Agua saborizada pomelo, marca Sierra de los Padres, caja de 6 x 1,5 L.",agua saborizada|agua pomelo|bulto|caja|sierra de los padres,ACTUALIZAR
3000,"COCA COLA 6X1,5","Gaseosa cola, marca Coca-Cola, caja x6 botellas de 1,5 L.","Gaseosa Coca-Cola sabor cola, formato caja de 6 botellas de 1,5 litros.",caja|bulto|gaseosa|coca|coca cola,ACTUALIZAR
3003,COCA COLA 12X375,"Gaseosa cola, marca Coca-Cola, caja x12 botellas de 375 ml.","Gaseosa cola marca Coca-Cola, formato caja de 12 x 375 ml.",gaseosa|cola|bulto|caja|coca cola,ACTUALIZAR
3005,COCA COLA 12X600,"Gaseosa cola, marca Coca-Cola, caja x12 botellas de 600 ml.","Gaseosa cola marca Coca-Cola, formato caja de 12 x 600 ml.",gaseosa|cola|bulto|caja|coca|coca cola,ACTUALIZAR
3008,"FANTA 6X1,5","Gaseosa, marca Fanta, caja x6 botellas de 1,5 L presentación en pack.","Gaseosa sabor naranja, marca Fanta, presentada en caja de 6 x 1,5 L.",gaseosa|fanta|bulto|caja,ACTUALIZAR
3012,MARINARO COLA 12X500,"Gaseosa cola, marca Marinaro, caja x12 botellas de 500 ml.","Gaseosa sabor cola, marca Marinaro, presentación en caja de 12x500 ml.",gaseosa|cola|bulto|caja|marinaro,ACTUALIZAR
3013,"MARINARO COLA 6 X 2,25","Gaseosa cola, marca Marinaro, caja x6 botellas de 2,25 L.","Gaseosa sabor cola, marca Marinaro, pack de 6 botellas de 2,25 L.",gaseosa|cola|bulto|pack|marinaro|caja,ACTUALIZAR
3014,MARINARO COLA 4X3 PREMIUM,"Gaseosa cola, marca Marinaro, caja x4 botellas de 3 L.","Gaseosa cola premium, marca Marinaro, caja de 4 botellas de 3 L.",gaseosa|cola|premium|bulto|caja|marinaro,ACTUALIZAR
3015,"MARINARO GRANADINA 6X2,25","Gaseosa granadina, marca Marinaro, caja x6 botellas de 2,25 L.","Gaseosa sabor granadina, marca Marinaro, presentada en caja de 6x2,25L.",gaseosa|bulto|granadina|marinaro|caja,ACTUALIZAR
3016,MARINARO GRANADINA 12 X 500,"Gaseosa granadina, marca Marinaro, caja x12 botellas de 500 ml.","Gaseosa sabor granadina, marca Marinaro, presentada en caja de 12 x 500 ml.",gaseosa|bulto|granadina|marinaro|caja,ACTUALIZAR
3017,MARINARO GRANADINA 4X3,"Gaseosa granadina, marca Marinaro, caja x4 botellas de 3 L.","Gaseosa sabor granadina marca Marinaro, presentada en caja de 4x3 litros.",gaseosa|bulto|granadina|marinaro|caja,ACTUALIZAR
3018,"MARINARO LIMA LIMON 6 X 2,25","Gaseosa lima limón, marca Marinaro, caja x6 botellas de 2,25 L.","Gaseosa sabor lima limón, marca Marinaro, formato caja de 6 x 2.25 L.",gaseosa|lima limón|caja|bulto,ACTUALIZAR
3019,MARINARO LIMA LIMON 12 X 500,"Gaseosa lima limón, marca Marinaro, caja x12 botellas de 500 ml.","Gaseosa sabor lima limón, marca Marinaro, presentación en caja de 12 x 500 ml.",gaseosa|bulto|caja|marinaro|lima limón,ACTUALIZAR
3020,"MARINARO LIMONADA 6 X 2,25","Gaseosa limonada, marca Marinaro, caja x6 botellas de 2,25 L.","Limonada sabor limón, marca Marinaro, presentado en caja de 6 x 2,25 L.",limonada|gaseosa|bulto|caja|marinaro,ACTUALIZAR
3021,MARINARO LIMONADA 12 X 500,"Gaseosa limonada, marca Marinaro, caja x12 botellas de 500 ml.","Gaseosa sabor limonada, marca Marinaro, presentada en caja de 12 x 500 ml.",gaseosa|limonada|caja|bulto|marinaro,ACTUALIZAR
3022,MARINARO LIMONADA 4X3 PREMIUM,"Gaseosa limonada, marca Marinaro, caja x4 botellas de 3 L.","Gaseosa limonada premium, marca Marinaro, caja de 4 botellas de 3 L.",gaseosa|limonada|premium|bulto|caja|marinaro,ACTUALIZAR
3023,"MARINARO MANZANA  6 X 2,25","Gaseosa manzana, marca Marinaro, caja x6 botellas de 2,25 L.","Gaseosa sabor manzana marca Marinaro, presentada en caja de 6 x 2,25 L.",gaseosa|bulto|manzana|marinaro|caja,ACTUALIZAR
3024,MARINARO MANZANA 12 X 500,"Gaseosa manzana, marca Marinaro, caja x12 botellas de 500 ml.","Gaseosa sabor manzana, marca Marinaro, presentación caja de 12 x 500 ml.",gaseosa|agua saborizada|bulto|caja|manzana,ACTUALIZAR
3025,MARINARO MANZANA 4X3 PREMIUM,"Gaseosa manzana, marca Marinaro, caja x4 botellas de 3 L.","Gaseosa manzana premium, marca Marinaro, caja de 4 botellas de 3 L.",gaseosa|manzana|premium|bulto|caja|marinaro,ACTUALIZAR
3026,"MARINARO NARANJA 6 X 2,25","Gaseosa naranja, marca Marinaro, caja x6 botellas de 2,25 L.","Gaseosa sabor naranja marca Marinaro, formato caja de 6 botellas de 2,25 L.",gaseosa|naranja|caja|bulto|marinaro,ACTUALIZAR
3027,MARINARO NARANJA 12 X 500,"Gaseosa naranja, marca Marinaro, caja x12 botellas de 500 ml.","Gaseosa sabor naranja, marca Marinaro, presentación caja de 12 x 500 ml.",gaseosa|naranja|caja|bulto,ACTUALIZAR
3028,MARINARO NARANJA 4X3 PREMIUM,"Gaseosa naranja, marca Marinaro, caja x4 botellas de 3 L.","Gaseosa naranja premium, marca Marinaro, caja de 4 botellas de 3 L.",gaseosa|naranja|premium|bulto|caja|marinaro,ACTUALIZAR
3029,MARINARO GRANADINA 8X500 VIDRIO,"Gaseosa granadina, marca Marinaro, caja x8 botellas de vidrio de 500 ml.","Gaseosa granadina, marca Marinaro, caja de 8 botellas de vidrio de 500 ml.",gaseosa|granadina|vidrio|bulto|caja|marinaro,ACTUALIZAR
3030,"MARINARO POMELO 6 X 2,25","Gaseosa pomelo, marca Marinaro, caja x6 botellas de 2,25 L.","Gaseosa sabor pomelo, marca Marinaro, pack de 6 botellas de 2,25 litros.",gaseosa|bulto|pack|pomelo|marinaro|caja,ACTUALIZAR
3031,MARINARO POMELO 12 X 500,"Gaseosa pomelo, marca Marinaro, caja x12 botellas de 500 ml.","Gaseosa sabor pomelo, marca Marinaro, presentada en caja de 12 x 500 ml.",gaseosa|bulto|pomelo|marinaro|caja,ACTUALIZAR
3032,MARINARO POMELO 4X3 PREMIUM,"Gaseosa pomelo, marca Marinaro, caja x4 botellas de 3 L.","Gaseosa pomelo premium, marca Marinaro, caja de 4 botellas de 3 L.",gaseosa|pomelo|premium|bulto|caja|marinaro,ACTUALIZAR
3033,MARINARO LIMONADA 8X500 VIDRIO,"Gaseosa limonada, marca Marinaro, caja x8 botellas de vidrio de 500 ml.","Gaseosa limonada, marca Marinaro, caja de 8 botellas de vidrio de 500 ml.",gaseosa|limonada|vidrio|bulto|caja|marinaro,ACTUALIZAR
3047,"MARINARO GRANADINA 6X1,5","Gaseosa granadina, marca Marinaro, caja x6 botellas de 1,5 L.","Gaseosa sabor granadina, marca Marinaro, presentada en caja de 6x1,5L.",gaseosa|bulto|granadina|marinaro|caja,ACTUALIZAR
3049,"MARINARO COLA 6X1,5","Gaseosa cola, marca Marinaro, caja x6 botellas de 1,5 L.","Gaseosa sabor cola, marca Marinaro, presentada en caja de 6 botellas de 1,5L.",gaseosa|cola|bulto|caja|marinaro,ACTUALIZAR
3051,"MARINARO MANZANA 6X1,5","Gaseosa manzana, marca Marinaro, caja x6 botellas de 1,5 L.","Gaseosa sabor manzana marca Marinaro, presentada en caja de 6x1,5L.",gaseosa|bulto|sabor manzana|marinaro|caja,ACTUALIZAR
3052,"MARINARO LIMONADA 6X1,5","Gaseosa limonada, marca Marinaro, caja x6 botellas de 1,5 L.","Limonada saborizada, marca Marinaro, formato caja de 6 botellas de 1,5L.",limonada|gaseosa|bulto|caja,ACTUALIZAR
3053,MARINARO UVA 12X500,"Gaseosa uva, marca Marinaro, caja x12 botellas de 500 ml.","Gaseosa sabor uva, marca Marinaro, presentada en caja de 12x500 ml.",gaseosa|bulto|sabor uva|marinaro|caja,ACTUALIZAR
3054,MARINARO ICE LIMA LIMON 4X3,"Gaseosa ice lima limón, marca Marinaro, caja x4 botellas de 3 L.","Gaseosa Ice lima limón, marca Marinaro, caja de 4 botellas de 3 L.",gaseosa|ice|lima limón|bulto|caja|marinaro,ACTUALIZAR
3055,MARINARO UVA 4X3 PREMIUM,"Gaseosa uva, marca Marinaro, caja x4 botellas de 3 L.","Gaseosa uva premium, marca Marinaro, caja de 4 botellas de 3 L.",gaseosa|uva|premium|bulto|caja|marinaro,ACTUALIZAR
3070,MARINARO ICE COLA 4X3,"Gaseosa ice cola, marca Marinaro, caja x4 botellas de 3 L.","Gaseosa Ice cola, marca Marinaro, caja de 4 botellas de 3 L.",gaseosa|ice|cola|bulto|caja|marinaro,ACTUALIZAR
3071,MARINARO ICE LIMONADA 4X3,"Gaseosa ice limonada, marca Marinaro, caja x4 botellas de 3 L.","Gaseosa Ice limonada, marca Marinaro, caja de 4 botellas de 3 L.",gaseosa|ice|limonada|bulto|caja|marinaro,ACTUALIZAR
3072,MARINARO ICE MANZANA 4X3,"Gaseosa ice manzana, marca Marinaro, caja x4 botellas de 3 L.","Gaseosa Ice manzana, marca Marinaro, caja de 4 botellas de 3 L.",gaseosa|ice|manzana|bulto|caja|marinaro,ACTUALIZAR
3073,MARINARO ICE NARANJA 4X3,"Gaseosa ice naranja, marca Marinaro, caja x4 botellas de 3 L.","Gaseosa Ice naranja, marca Marinaro, caja de 4 botellas de 3 L.",gaseosa|ice|naranja|bulto|caja|marinaro,ACTUALIZAR
3075,MARINARO ICE GRANADINA 4X3,"Gaseosa ice granadina, marca Marinaro, caja x4 botellas de 3 L.","Gaseosa Ice granadina, marca Marinaro, caja de 4 botellas de 3 L.",gaseosa|ice|granadina|bulto|caja|marinaro,ACTUALIZAR
