numero,razon_social,nombre_contacto,phone_number,lista_precios_id,codigo,dia_de_visita,dia_de_entrega,direccion,vendedor_nombre,vendedor_idx,zona_idx,lat,lng,is_mock
1,Descarpack,Descarpack,5493587905250,2,1,lunes,martes,"Zona ZONA NOROESTE - Barrio El Bajo - San Miguel de Tucumán, Tucumán, Argentina",Juan Pérez,0,0,-26.817557,-65.228009,true
2,Envases Tucumán,Envases Tucumán,5493582641213,3,2,lunes,martes,"Zona ZONA NOROESTE - Barrio El Bajo - San Miguel de Tucumán, Tucumán, Argentina",Juan Pérez,0,0,-26.817596,-65.222112,true
3,Bandejas y Vasos,Bandejas y Vasos,5492991227644,4,3,lunes,martes,"Zona ZONA NOROESTE - Barrio El Bajo - San Miguel de Tucumán, Tucumán, Argentina",Juan Pérez,0,0,-26.817403,-65.228224,true
4,Tucumán Packaging,Tucumán Packaging,5493418277249,1,4,lunes,martes,"Zona ZONA NOROESTE - Barrio El Bajo - San Miguel de Tucumán, Tucumán, Argentina",Juan Pérez,0,0,-26.820161,-65.224597,true
5,Aluminio y Telgopor,Aluminio y Telgopor,5493587747641,2,5,lunes,martes,"Zona ZONA NOROESTE - Barrio El Bajo - San Miguel de Tucumán, Tucumán, Argentina",Juan Pérez,0,0,-26.820397,-65.22521,true
6,Bolsas y Más,Bolsas y Más,5492614053074,3,6,lunes,martes,"Zona ZONA NOROESTE - Barrio El Bajo - San Miguel de Tucumán, Tucumán, Argentina",Juan Pérez,0,0,-26.821159,-65.219049,true
7,Parrilla El Sabor,Parrilla El Sabor,5493514079279,4,7,lunes,martes,"Zona ZONA NOROESTE - Barrio El Bajo - San Miguel de Tucumán, Tucumán, Argentina",Juan Pérez,0,0,-26.820539,-65.219788,true
8,Asadería La Tradición,Asadería La Tradición,5493876914178,1,8,lunes,martes,"Zona ZONA NOROESTE - Barrio El Bajo - San Miguel de Tucumán, Tucumán, Argentina",Juan Pérez,0,0,-26.821904,-65.226524,true
9,Carnicería El Buen Corte,Carnicería El Buen Corte,5492617175545,2,9,lunes,martes,"Zona ZONA NOROESTE - Barrio El Bajo - San Miguel de Tucumán, Tucumán, Argentina",Juan Pérez,0,0,-26.816811,-65.220805,true
10,Restaurante La Estancia,Restaurante La Estancia,5493818437953,3,10,martes,miercoles,"Zona ZONA NORTE - Barrio 9 de Julio - San Miguel de Tucumán, Tucumán, Argentina",María González,1,1,-26.821326,-65.20634,true
11,Almacén del Barrio,Almacén del Barrio,5493582132179,4,11,martes,miercoles,"Zona ZONA NORTE - Barrio 9 de Julio - San Miguel de Tucumán, Tucumán, Argentina",María González,1,1,-26.815588,-65.201729,true
12,Pinturería El Colorido,Pinturería El Colorido,5493872845902,1,12,martes,miercoles,"Zona ZONA NORTE - Barrio 9 de Julio - San Miguel de Tucumán, Tucumán, Argentina",María González,1,1,-26.821788,-65.198817,true
13,Ferretería La Solución,Ferretería La Solución,5492997670210,2,13,martes,miercoles,"Zona ZONA NORTE - Barrio 9 de Julio - San Miguel de Tucumán, Tucumán, Argentina",María González,1,1,-26.818065,-65.207491,true
14,Corralón El Progreso,Corralón El Progreso,5493811657614,3,14,martes,miercoles,"Zona ZONA NORTE - Barrio 9 de Julio - San Miguel de Tucumán, Tucumán, Argentina",María González,1,1,-26.821357,-65.204065,true
15,Vasos y Bandejas,Vasos y Bandejas,5492994145193,4,15,martes,miercoles,"Zona ZONA NORTE - Barrio 9 de Julio - San Miguel de Tucumán, Tucumán, Argentina",María González,1,1,-26.822831,-65.199362,true
16,Envases del Norte,Envases del Norte,5493515971311,1,16,martes,miercoles,"Zona ZONA NORTE - Barrio 9 de Julio - San Miguel de Tucumán, Tucumán, Argentina",María González,1,1,-26.817729,-65.207933,true
17,Bolsas Tucumanas,Bolsas Tucumanas,5492994228106,2,17,martes,miercoles,"Zona ZONA NORTE - Barrio 9 de Julio - San Miguel de Tucumán, Tucumán, Argentina",María González,1,1,-26.8208,-65.205482,true
