pedido_ref,cliente_codigo,cliente_phone,cliente_razon_social,fecha,estado,total,notas,is_mock,es_pedido_abierto,lista_precios_id
P-00001,25001,5493587905250,Descarpack,2026-03-01 08:00:00,confirmado,7705.86,Pedido historico mock - Descarpack,true,false,2
P-00002,25001,5493587905250,Descarpack,2026-03-18 09:19:07,confirmado,85808.47,Pedido historico mock - Descarpack,true,false,2
P-00003,25002,5493582641213,Envases Tucumán,2026-03-08 11:11:23,confirmado,7206.97,Pedido historico mock - Envases Tucumán,true,false,3
P-00004,25002,5493582641213,Envases Tucumán,2026-03-25 12:30:30,confirmado,36489.38,Pedido historico mock - Envases Tucumán,true,false,3
P-00005,25003,5492991227644,Bandejas y Vasos,2026-03-15 14:22:46,confirmado,47996.50,Pedido historico mock - Bandejas y Vasos,true,false,4
P-00006,25003,5492991227644,Bandejas y Vasos,2026-04-01 15:41:53,confirmado,8489.80,Pedido historico mock - Bandejas y Vasos,true,false,4
P-00007,25004,5493418277249,Tucumán Packaging,2026-03-22 17:33:09,confirmado,6673.50,Pedido historico mock - Tucumán Packaging,true,false,1
P-00008,25004,5493418277249,Tucumán Packaging,2026-04-08 08:52:16,confirmado,171751.77,Pedido historico mock - Tucumán Packaging,true,false,1
P-00009,25005,5493587747641,Aluminio y Telgopor,2026-03-29 10:44:32,confirmado,94796.91,Pedido historico mock - Aluminio y Telgopor,true,false,2
P-00010,25005,5493587747641,Aluminio y Telgopor,2026-04-15 11:03:39,confirmado,78117.06,Pedido historico mock - Aluminio y Telgopor,true,false,2
P-00011,25006,5492614053074,Bolsas y Más,2026-04-05 13:55:55,confirmado,124660.07,Pedido historico mock - Bolsas y Más,true,false,3
P-00012,25006,5492614053074,Bolsas y Más,2026-04-22 14:14:02,confirmado,164089.03,Pedido historico mock - Bolsas y Más,true,false,3
P-00013,25007,5493514079279,Parrilla El Sabor,2026-04-12 16:06:18,confirmado,66997.00,Pedido historico mock - Parrilla El Sabor,true,false,4
P-00014,25007,5493514079279,Parrilla El Sabor,2026-04-29 17:25:25,confirmado,67049.80,Pedido historico mock - Parrilla El Sabor,true,false,4
P-00015,25008,5493876914178,Asadería La Tradición,2026-04-19 09:17:41,confirmado,92330.88,Pedido historico mock - Asadería La Tradición,true,false,1
P-00016,25008,5493876914178,Asadería La Tradición,2026-05-06 10:36:48,confirmado,89529.37,Pedido historico mock - Asadería La Tradición,true,false,1
P-00017,25009,5492617175545,Carnicería El Buen Corte,2026-04-26 12:28:04,confirmado,27340.66,Pedido historico mock - Carnicería El Buen Corte,true,false,2
P-00018,25009,5492617175545,Carnicería El Buen Corte,2026-05-13 13:47:11,confirmado,69862.17,Pedido historico mock - Carnicería El Buen Corte,true,false,2
P-00019,25010,5493818437953,Restaurante La Estancia,2026-05-03 15:39:27,confirmado,75094.34,Pedido historico mock - Restaurante La Estancia,true,false,3
P-00020,25010,5493818437953,Restaurante La Estancia,2026-05-20 16:58:34,confirmado,10085.79,Pedido historico mock - Restaurante La Estancia,true,false,3
P-00021,25011,5493582132179,Almacén del Barrio,2026-05-10 08:50:50,confirmado,25330.68,Pedido historico mock - Almacén del Barrio,true,false,4
P-00022,25011,5493582132179,Almacén del Barrio,2026-05-27 09:09:57,confirmado,12932.64,Pedido historico mock - Almacén del Barrio,true,false,4
P-00023,25012,5493872845902,Pinturería El Colorido,2026-05-17 11:01:13,confirmado,71856.46,Pedido historico mock - Pinturería El Colorido,true,false,1
P-00024,25012,5493872845902,Pinturería El Colorido,2026-03-03 12:20:20,confirmado,150392.21,Pedido historico mock - Pinturería El Colorido,true,false,1
P-00025,25013,5492997670210,Ferretería La Solución,2026-05-24 14:12:36,confirmado,107872.16,Pedido historico mock - Ferretería La Solución,true,false,2
P-00026,25013,5492997670210,Ferretería La Solución,2026-03-10 15:31:43,confirmado,118047.64,Pedido historico mock - Ferretería La Solución,true,false,2
P-00027,25014,5493811657614,Corralón El Progreso,2026-05-31 17:23:59,confirmado,84193.65,Pedido historico mock - Corralón El Progreso,true,false,3
P-00028,25014,5493811657614,Corralón El Progreso,2026-03-17 08:42:06,confirmado,29294.80,Pedido historico mock - Corralón El Progreso,true,false,3
P-00029,25015,5492994145193,Vasos y Bandejas,2026-03-07 10:34:22,confirmado,40544.57,Pedido historico mock - Vasos y Bandejas,true,false,4
P-00030,25015,5492994145193,Vasos y Bandejas,2026-03-24 11:53:29,confirmado,25011.66,Pedido historico mock - Vasos y Bandejas,true,false,4
P-00031,25016,5493515971311,Envases del Norte,2026-03-14 13:45:45,confirmado,34984.90,Pedido historico mock - Envases del Norte,true,false,1
P-00032,25016,5493515971311,Envases del Norte,2026-03-31 14:04:52,confirmado,269109.72,Pedido historico mock - Envases del Norte,true,false,1
P-00033,25017,5492994228106,Bolsas Tucumanas,2026-03-21 16:56:08,confirmado,10683.00,Pedido historico mock - Bolsas Tucumanas,true,false,2
P-00034,25017,5492994228106,Bolsas Tucumanas,2026-04-07 17:15:15,confirmado,108827.80,Pedido historico mock - Bolsas Tucumanas,true,false,2
P-00035,25018,5492998718887,Aluminio y Plásticos,2026-03-28 09:07:31,confirmado,17830.80,Pedido historico mock - Aluminio y Plásticos,true,false,3
P-00036,25018,5492998718887,Aluminio y Plásticos,2026-04-14 10:26:38,confirmado,23551.42,Pedido historico mock - Aluminio y Plásticos,true,false,3
P-00037,25019,5492995028869,Telgopor y Más,2026-04-04 12:18:54,confirmado,9492.70,Pedido historico mock - Telgopor y Más,true,false,4
P-00038,25019,5492995028869,Telgopor y Más,2026-04-21 13:37:01,confirmado,77625.95,Pedido historico mock - Telgopor y Más,true,false,4
P-00039,25020,5493517304254,Descarte Fácil,2026-04-11 15:29:17,confirmado,17405.35,Pedido historico mock - Descarte Fácil,true,false,1
P-00040,25020,5493517304254,Descarte Fácil,2026-04-28 16:48:24,confirmado,51041.53,Pedido historico mock - Descarte Fácil,true,false,1
P-00041,25021,5493416986538,Pack & Go,2026-04-18 08:40:40,confirmado,130020.15,Pedido historico mock - Pack & Go,true,false,2
P-00042,25021,5493416986538,Pack & Go,2026-05-05 09:59:47,confirmado,183675.61,Pedido historico mock - Pack & Go,true,false,2
P-00043,25022,5492619239862,Bandejas de Cartón,2026-04-25 11:51:03,confirmado,16969.40,Pedido historico mock - Bandejas de Cartón,true,false,3
P-00044,25022,5492619239862,Bandejas de Cartón,2026-05-12 12:10:10,confirmado,46394.50,Pedido historico mock - Bandejas de Cartón,true,false,3
P-00045,25023,5493513952681,Vasos Desechables,2026-05-02 14:02:26,confirmado,15875.80,Pedido historico mock - Vasos Desechables,true,false,4
P-00046,25023,5493513952681,Vasos Desechables,2026-05-19 15:21:33,confirmado,46034.75,Pedido historico mock - Vasos Desechables,true,false,4
P-00047,25024,5493414799650,Bolsas Ecológicas,2026-05-09 17:13:49,confirmado,53591.09,Pedido historico mock - Bolsas Ecológicas,true,false,1
