pedido_ref,cliente_codigo,cliente_phone,cliente_razon_social,fecha,estado,total,notas,is_mock,es_pedido_abierto,lista_precios_id
P-00001,25001,5493587905250,Congelados del Sur,2026-03-01 08:00:00,confirmado,95150.00,Pedido historico mock - Congelados del Sur,true,false,2
P-00002,25001,5493587905250,Congelados del Sur,2026-03-18 09:19:07,entregado,76000.00,Pedido historico mock - Congelados del Sur,true,false,2
P-00003,25001,5493587905250,Congelados del Sur,2026-04-04 10:38:14,facturado,37500.00,Pedido historico mock - Congelados del Sur,true,false,2
P-00004,25002,5493582641213,La Harina Mágica,2026-03-08 11:11:23,entregado,142043.40,Pedido historico mock - La Harina Mágica,true,false,3
P-00005,25002,5493582641213,La Harina Mágica,2026-03-25 12:30:30,facturado,68080.00,Pedido historico mock - La Harina Mágica,true,false,3
P-00006,25002,5493582641213,La Harina Mágica,2026-04-11 13:49:37,confirmado,225400.00,Pedido historico mock - La Harina Mágica,true,false,3
P-00007,25003,5492991227644,Parrilla El Buen Sabor,2026-03-15 14:22:46,facturado,451080.00,Pedido historico mock - Parrilla El Buen Sabor,true,false,4
P-00008,25003,5492991227644,Parrilla El Buen Sabor,2026-04-01 15:41:53,confirmado,47250.00,Pedido historico mock - Parrilla El Buen Sabor,true,false,4
P-00009,25003,5492991227644,Parrilla El Buen Sabor,2026-04-18 16:00:00,entregado,33300.00,Pedido historico mock - Parrilla El Buen Sabor,true,false,4
P-00010,25004,5493418277249,Carnicería El Amigo,2026-03-22 17:33:09,confirmado,25200.00,Pedido historico mock - Carnicería El Amigo,true,false,1
P-00011,25004,5493418277249,Carnicería El Amigo,2026-04-08 08:52:16,entregado,445860.00,Pedido historico mock - Carnicería El Amigo,true,false,1
P-00012,25004,5493418277249,Carnicería El Amigo,2026-04-25 09:11:23,facturado,72400.00,Pedido historico mock - Carnicería El Amigo,true,false,1
P-00013,25005,5493587747641,Almacén La Abundancia,2026-03-29 10:44:32,entregado,326600.00,Pedido historico mock - Almacén La Abundancia,true,false,2
P-00014,25005,5493587747641,Almacén La Abundancia,2026-04-15 11:03:39,facturado,166700.00,Pedido historico mock - Almacén La Abundancia,true,false,2
P-00015,25005,5493587747641,Almacén La Abundancia,2026-05-02 12:22:46,confirmado,148500.00,Pedido historico mock - Almacén La Abundancia,true,false,2
P-00016,25006,5492614053074,Pinturería Color y Vida,2026-04-05 13:55:55,facturado,28750.00,Pedido historico mock - Pinturería Color y Vida,true,false,3
P-00017,25006,5492614053074,Pinturería Color y Vida,2026-04-22 14:14:02,confirmado,414000.00,Pedido historico mock - Pinturería Color y Vida,true,false,3
P-00018,25006,5492614053074,Pinturería Color y Vida,2026-05-09 15:33:09,entregado,176180.00,Pedido historico mock - Pinturería Color y Vida,true,false,3
P-00019,25007,5493514079279,Ferretería El Progreso,2026-04-12 16:06:18,confirmado,293760.00,Pedido historico mock - Ferretería El Progreso,true,false,4
P-00020,25007,5493514079279,Ferretería El Progreso,2026-04-29 17:25:25,entregado,93600.00,Pedido historico mock - Ferretería El Progreso,true,false,4
P-00021,25007,5493514079279,Ferretería El Progreso,2026-05-16 08:44:32,facturado,387540.00,Pedido historico mock - Ferretería El Progreso,true,false,4
P-00022,25008,5493876914178,Corralón La Esperanza,2026-04-19 09:17:41,entregado,6950.00,Pedido historico mock - Corralón La Esperanza,true,false,1
P-00023,25008,5493876914178,Corralón La Esperanza,2026-05-06 10:36:48,facturado,276000.00,Pedido historico mock - Corralón La Esperanza,true,false,1
P-00024,25008,5493876914178,Corralón La Esperanza,2026-05-23 11:55:55,confirmado,86800.00,Pedido historico mock - Corralón La Esperanza,true,false,1
P-00025,25009,5492617175545,Asadería La Tradición,2026-04-26 12:28:04,facturado,132800.00,Pedido historico mock - Asadería La Tradición,true,false,2
P-00026,25009,5492617175545,Asadería La Tradición,2026-05-13 13:47:11,confirmado,344400.00,Pedido historico mock - Asadería La Tradición,true,false,2
P-00027,25009,5492617175545,Asadería La Tradición,2026-05-30 14:06:18,entregado,79000.00,Pedido historico mock - Asadería La Tradición,true,false,2
