product_code,precio_unidad,is_mock
1415,7995.00,true
1416,7533.75,true
1414,9225.00,true
1407,10608.75,true
1421,4612.50,true
1600,1397.59,true
1607,1397.59,true
1604,1798.88,true
1608,2698.87,true
1950,507.38,true
1521,7519.40,true
1522,9061.29,true
1523,10680.50,true
SND-2521,17837.46,true
SND-2522,20852.19,true
SND-2523,23389.06,true
SND-2524,25680.56,true
1700,9700.09,true
MEL-04,2214.00,true
MK-6934,3375.09,true
LNN-183,2580.36,true
B2412,4568.22,true
LNN-2460,13918.84,true
LNN-248,6194.75,true
IDI25,8914.93,true
3410,7413.75,true
3408,1002.84,true
FS-2020,3223.79,true
FS-2021,3586.53,true
MK-6127,4500.01,true
FS-2035,5510.26,true
FS-702,7349.94,true
1830,8747.53,true
FS-701,6061.86,true
1828,7459.45,true
IJL07,13571.06,true
ALB-1001,16461.00,true
4200,956.25,true
4204,4050.00,true
B2533,6526.15,true
B2530,11176.45,true
B2531,17891.78,true
7004,1457.55,true
7000,797.60,true
7416,584.87,true
SND-569,708.92,true
SND-568,1086.00,true
FS-2040,3754.51,true
MK-40N,3089.32,true
2572,2111.60,true
2600,1435.41,true
2601,1939.10,true
8026,1753.51,true
MK-6252,1514.62,true
8030,3324.04,true
1802,12582.97,true
1810,1088.55,true
B2507,2409.57,true
B2510,3147.57,true
B2515,10056.69,true
FL-911,1564.56,true
B2490,581.03,true
FL-900,2615.66,true
FL-904,5647.55,true
A2470,10224.14,true
MK-6585,10006.62,true
A2472,6038.55,true
MK-6130,7589.05,true
B5122,4706.42,true
PTB-0327806002,22064.63,true
PTB-0327899038,73823.74,true
B3248,153705.28,true
B3250,243549.43,true
B3140,21222.02,true
B3146,34043.11,true
B3150,46088.22,true
PTB-20510726,64185.39,true
PTB-20144622,31391.13,true
160-02,4867.37,true
150-02,946.34,true
160-03,4867.37,true
432B-02,3712.05,true
160-10,4867.37,true
432D-10,1117.15,true
160-12,4867.37,true
160-33,4867.37,true
100P-5,3354.69,true
072-10,1568.70,true
072-25,1568.70,true
051-14,1198.97,true
051-39,1198.97,true
AER-559L,2675.25,true
MK-70014,20038.47,true
