product_code,nombre,precio_lista_1,stock,unidades_por_bulto,unidad_minima_de_venta,umv_tipo,categoria_1,categoria_2,categoria_3,categoria_4,aliases,rotacion_index,mental_priority,descripcion,image_url,en_catalogo,is_mock,fuente_hoja
1415,ESCOBA 5 HILOS COMUN,8883.33,280,1,unidad,unidad,Fabricacion,Escobas,Cerdas,,1415|ESCOBA 5 HILOS COMUN|escoba 5 hilos comun,0.86,0.86,"Escoba 5 hilos comun, marca SUNDE, rubro escobas, venta por unidad.",,true,true,L 21-08
1416,ESCOBA 5 HILOS MEZCLA,8370.83,280,1,unidad,unidad,Fabricacion,Escobas,Cerdas,,1416|ESCOBA 5 HILOS MEZCLA|escoba 5 hilos mezcla,0.86,0.86,"Escoba 5 hilos mezcla, marca SUNDE, rubro escobas, venta por unidad.",,true,true,L 21-08
1414,ESCOBA 6 HILOS ESPECIAL,10250.00,280,1,unidad,unidad,Fabricacion,Escobas,Cerdas,,1414|ESCOBA 6 HILOS ESPECIAL|escoba 6 hilos especial,0.86,0.86,"Escoba 6 hilos especial, marca SUNDE, rubro escobas, venta por unidad.",,true,true,L 21-08
1407,ESCOBA 7 HILOS IMPERIAL,11787.50,280,1,unidad,unidad,Fabricacion,Escobas,Cerdas,,1407|ESCOBA 7 HILOS IMPERIAL|escoba 7 hilos imperial,0.86,0.86,"Escoba 7 hilos imperial, marca SUNDE, rubro escobas, venta por unidad.",,true,true,L 21-08
1421,ESCOBITA INFANTIL,5125.00,45,1,unidad,unidad,Fabricacion,Escobas,,,1421|ESCOBITA INFANTIL,0.32,0.32,"Escobita infantil, marca SUNDE, rubro escobas, venta por unidad, catálogo SUNDE.",,true,true,L 21-08
1600,CABO MADERA C/ROSCA,1552.88,280,1,unidad,unidad,Fabricacion,Cabos,Madera,,1600|CABO MADERA C/ROSCA,0.86,0.86,"Cabo madera c/rosca, marca SUNDE, rubro cabos, venta por unidad.",,true,true,L 21-08
1607,CABO MADERA C/ROSCA 1.20MTS PINO,1552.88,280,1,unidad,unidad,Fabricacion,Cabos,Madera,,1607|CABO MADERA C/ROSCA 1.20MTS PINO|CABO MADERA C/ROSCA 120MTS PINO,0.86,0.86,"Cabo madera c/rosca 1.20mts pino, marca SUNDE, rubro cabos, venta por unidad.",,true,true,L 21-08
1604,CABO MADERA C/ROSCA 1.50MTS,1998.75,280,1,unidad,unidad,Fabricacion,Cabos,Madera,,1604|CABO MADERA C/ROSCA 1.50MTS|CABO MADERA C/ROSCA 150MTS,0.86,0.86,"Cabo madera c/rosca 1.50mts, marca SUNDE, rubro cabos, venta por unidad.",,true,true,L 21-08
1608,CABO MADERA C/ROSCA P/BARRENDERO,2998.74,280,1,unidad,unidad,Fabricacion,Cabos,Madera,,1608|CABO MADERA C/ROSCA P/BARRENDERO,0.86,0.86,"Cabo madera c/rosca p/barrendero, marca SUNDE, rubro cabos, venta por unidad.",,true,true,L 21-08
1950,CABO MADERA P/SOPAPA,563.75,280,1,unidad,unidad,Fabricacion,Cabos,Madera,,1950|CABO MADERA P/SOPAPA,0.86,0.86,"Cabo madera p/sopapa, marca SUNDE, rubro cabos, venta por unidad.",,true,true,L 21-08
