codigo_producto,nombre,descripcion_original,descripcion_mejorada,alias_propuestos,accion
1421,ESCOBITA INFANTIL,"Escobita infantil, marca SUNDE, rubro escobas, venta por unidad, catálogo SUNDE.","Escobita infantil, presentación unitaria, catálogo SUNDE, línea artículos de limpieza.",1421|Escobita infantil|escoba|escobita|escoba infantil,ACTUALIZAR
1600,CABO MADERA C/ROSCA,"Cabo madera c/rosca, marca SUNDE, rubro cabos, venta por unidad.","Cabo madera c/rosca, presentación unitaria, catálogo SUNDE, línea artículos de limpieza.",1600|Cabo madera c/rosca|cabo|cabo de madera|palo de escoba|palo|cabo de escoba,ACTUALIZAR
1607,CABO MADERA C/ROSCA 1.20MTS PINO,"Cabo madera c/rosca 1.20mts pino, marca SUNDE, rubro cabos, venta por unidad.","Cabo madera c/rosca 1.20mts pino, catálogo SUNDE, venta por unidad.",1607|Cabo madera c/rosca 1.20mts pino|cabo|cabo de madera|palo de escoba|cabo de escoba|mango de escoba,ACTUALIZAR
1604,CABO MADERA C/ROSCA 1.50MTS,"Cabo madera c/rosca 1.50mts, marca SUNDE, rubro cabos, venta por unidad.","Cabo madera c/rosca 1.50mts, presentación unitaria, catálogo SUNDE, línea artículos de limpieza.",1604|Cabo madera c/rosca 1.50mts|cabo|cabo de madera|palo de escoba|cabo de escoba|cabo con rosca,ACTUALIZAR
1608,CABO MADERA C/ROSCA P/BARRENDERO,"Cabo madera c/rosca p/barrendero, marca SUNDE, rubro cabos, venta por unidad.","Cabo madera c/rosca p/barrendero, presentación unitaria, catálogo SUNDE, línea artículos de limpieza.",1608|Cabo madera c/rosca p/barrendero|cabo|cabo de madera|palo de escoba|cabo de barrendero|cabo con rosca,ACTUALIZAR
1521,LAMPAZO BARRENDERO 0.40MT CHICO,"Lampazo barrendero 0.40mt chico, marca SUNDE, rubro lampazos, venta por unidad.","Lampazo barrendero 0.40mt chico, presentación unitaria, catálogo SUNDE, línea artículos de limpieza.",1521|Lampazo barrendero 0.40mt chico|lampazo|mopa barrendero,ACTUALIZAR
1522,LAMPAZO BARRENDERO 0.60MT MEDIANO,"Lampazo barrendero 0.60mt mediano, marca SUNDE, rubro lampazos, venta por unidad.","Lampazo barrendero 0.60mt mediano, presentación unitaria, catálogo SUNDE, línea artículos de limpieza.",1522|Lampazo barrendero 0.60mt mediano|lampazo|mopa barrendero,ACTUALIZAR
1523,LAMPAZO BARRENDERO 0.80MT GRANDE,"Lampazo barrendero 0.80mt grande, marca SUNDE, rubro lampazos, venta por unidad.","Lampazo barrendero 0.80mt grande, presentación unitaria, catálogo SUNDE, línea artículos de limpieza.",1523|Lampazo barrendero 0.80mt grande|lampazo|mopa barrendero,ACTUALIZAR
SND-2521,LAMPAZO BARRENDERO PREMIUM 0.40MT CHICO,"Lampazo barrendero premium 0.40mt chico, marca SUNDE, rubro lampazos, venta por unidad.","Lampazo barrendero premium 0.40mt chico, marca SUNDE, línea premium SUNDE, venta por unidad.",SND-2521|Lampazo barrendero premium 0.40mt chico|SUNDE|lampazo|mopa barrendero|lampazo premium,ACTUALIZAR
SND-2522,LAMPAZO BARRENDERO PREMIUM 0.60MT MEDIANO,"Lampazo barrendero premium 0.60mt mediano, marca SUNDE, rubro lampazos, venta por unidad.","Lampazo barrendero premium 0.60mt mediano, marca SUNDE, línea premium SUNDE, venta por unidad.",SND-2522|Lampazo barrendero premium 0.60mt mediano|SUNDE|lampazo|mopa barrendero|lampazo premium,ACTUALIZAR
SND-2523,LAMPAZO BARRENDERO PREMIUM 0.80MT GRANDE,"Lampazo barrendero premium 0.80mt grande, marca SUNDE, rubro lampazos, venta por unidad.","Lampazo barrendero premium 0.80mt grande, marca SUNDE, línea premium SUNDE, venta por unidad.",SND-2523|Lampazo barrendero premium 0.80mt grande|SUNDE|lampazo|mopa barrendero|lampazo premium|lampazo grande,ACTUALIZAR
SND-2524,LAMPAZO BARRENDERO PREMIUM 1.00MT,"Lampazo barrendero premium 1.00mt, marca SUNDE, rubro lampazos, venta por unidad.","Lampazo barrendero premium 1.00mt, marca SUNDE, línea premium SUNDE, venta por unidad.",SND-2524|Lampazo barrendero premium 1.00mt|SUNDE|lampazo|mopa barrendero|lampazo premium,ACTUALIZAR
1700,PALA RESIDUOS METAL C/CABO,"Pala residuos metal c/cabo, marca SUNDE, rubro cabos, venta por unidad.","Pala residuos metal c/cabo, presentación unitaria, catálogo SUNDE, línea artículos de limpieza.",1700|Pala residuos metal c/cabo|pala de basura|pala|pala metálica,ACTUALIZAR
MEL-04,ALCOHOL GEL FRAU 500ML,"Alcohol gel frau 500ml, rubro limpieza, venta por unidad, catálogo SUNDE.","Alcohol gel frau 500ml, presentación unitaria, catálogo SUNDE, línea artículos de limpieza.",MEL-04|Alcohol gel frau 500ml|Frau|alcohol en gel|gel antibacterial|alcohol|gel desinfectante,ACTUALIZAR
MK-6127,ESCOBILLON 6 HILERAS,"Escobillon 6 hileras, marca Make, rubro escobillones, venta por unidad.","Escobillon 6 hileras, marca Make, catálogo SUNDE, venta por unidad.",MK-6127|Escobillon 6 hileras|Make|escobillón|escobillon|escobita,ACTUALIZAR
FS-2035,ESCOBILLON BARREGRUESO,"Escobillon barregrueso, marca SUNDE, rubro escobillones, venta por unidad, catálogo SUNDE.","Escobillon barregrueso, marca FS, presentación unitaria, catálogo SUNDE, línea artículos de limpieza.",FS-2035|Escobillon barregrueso|FS|escobillón|escobillon|escobita|escoba gruesa,ACTUALIZAR
FS-701,ESCOBILLON CERDA LISO,"Escobillon cerda liso, marca SUNDE, rubro escobillones, venta por unidad.","Escobillon cerda liso, marca FS, cerda natural, venta por unidad.",FS-701|Escobillon cerda liso|FS|escobillón|escobillon|escobillon de cerda|escobillón de cerda|escobita,ACTUALIZAR
1828,ESCOBILLON CERDA LISO C/CABO,"Escobillon cerda liso c/cabo, marca SUNDE, rubro escobillones, venta por unidad.","Escobillon cerda liso c/cabo, cerda natural, catálogo SUNDE, venta por unidad.",1828|Escobillon cerda liso c/cabo|escobillón|escobillon|escobillon de cerda|escobillón de cerda|escobita,ACTUALIZAR
B2533,ORGANIZADOR C/TAPA 10LTS,"Organizador c/tapa 10lts, marca SUNDE, rubro organizadores, venta por unidad.","Organizador c/tapa 10lts, presentación unitaria, catálogo SUNDE, línea artículos de limpieza.",B2533|Organizador c/tapa 10lts|organizador|caja con tapa|taper|contenedor|caja plástica,ACTUALIZAR
B2530,ORGANIZADOR C/TAPA 18LTS,"Organizador c/tapa 18lts, marca SUNDE, rubro organizadores, venta por unidad.","Organizador c/tapa 18lts, presentación unitaria, catálogo SUNDE, línea artículos de limpieza.",B2530|Organizador c/tapa 18lts|organizador|caja con tapa|caja organizadora|caja plástica,ACTUALIZAR
B2531,ORGANIZADOR C/TAPA 30LTS,"Organizador c/tapa 30lts, marca SUNDE, rubro organizadores, venta por unidad.","Organizador c/tapa 30lts, presentación unitaria, catálogo SUNDE, línea artículos de limpieza.",B2531|Organizador c/tapa 30lts|organizador|caja con tapa|caja organizadora|caja plástica,ACTUALIZAR
7004,PALA RESIDUOS C/CABO ECONOMICA,"Pala residuos c/cabo economica, marca SUNDE, rubro cabos, venta por unidad.","Pala residuos c/cabo economica, presentación unitaria, catálogo SUNDE, línea artículos de limpieza.",7004|Pala residuos c/cabo economica|pala|pala de basura|palita|pala rebatible,ACTUALIZAR
