sku,nombre,unidades_por_bulto,peso_por_unidad_g,precio_unidad_kg,precio_bulto,comercializa_por
421,MEDIALUNA CON MANTECA,168,50,444.35,74650,unidad
422,MEDIALUNA C/ MANTECA SALADA,168,50,444.35,74650,unidad
429,CROISSANT,40,110,1075.00,43000,unidad
422-MIX,FACTURA MIXTA,108,70,594.44,64200,unidad
426,FACTURA RECTANGULAR CRUDA CONGELADA,180,60,385.00,69300,unidad
423,CRIOLLO DE HOJALDRE x 11kg*,200,55,5009.09,55100,peso
424,CRIOLLO COMÚN HEXAGONAL x 11kg*,220,45,4145.45,45600,peso
425,TORTILLA TUCUMANA x 7.8kg*,120,65,5153.85,40200,peso
430,CHIPACA DE GRASA x 5kg*,100,50,6279.90,31400,peso
449,CRIOLLO COMÚN CON CHICHARRÓN x 11kg,220,45,4145.45,45600,peso
448,HOJALDRITOS ESPECIALES x 5kg,250,20,4920.00,24600,peso
427,CHIPÁ x 5kg*,250,20,26660.00,133300,peso
435,PAN MIGNON CRUDO CONGELADO x 14kg*,55,260,636.36,35000,peso
440,PAN BAGUETTE CRUDO CONGELADO x 7kg*,55,130,327.27,18000,peso
441,PAN TREBOLÍN CRUDO CONGELADO x 7kg*,175,40,102.86,18000,peso
442,BAGUETTE SALVADO CRUDO CONGELADO x 7kg*,55,130,349.45,19220,peso
443,TREBOLÍN SALVADO CRUDO CONGELADO x 7kg*,175,40,109.83,19220,peso
415,PAN MIGNON PRECOCIDO X 18un.,18,0,0,13300,unidad
428,PAN BAGUETTE PRECOCIDO x 30un.,30,0,0,13300,unidad
436,PAN TREBOLIN PRECOCIDO x3kg,1,3000,4166.67,12500,peso
433,PAN TREBOLIN SALVADO PRECOCIDO x3kg,1,3000,4166.67,12500,peso
