id,cliente_id,fecha,items,total,estado,origen,is_mock
1,1,2026-07-26 09:55:13,"[{""product_code"": ""424"", ""nombre"": ""CRIOLLO COMÚN HEXAGONAL x 11kg*"", ""cantidad"": 1, ""precio_unitario"": 45600.0}, {""product_code"": ""423"", ""nombre"": ""CRIOLLO DE HOJALDRE x 11kg*"", ""cantidad"": 5, ""precio_unitario"": 55100.0}, {""product_code"": ""441"", ""nombre"": ""PAN TREBOLÍN CRUDO CONGELADO x 7kg*"", ""cantidad"": 1, ""precio_unitario"": 18000.0}, {""product_code"": ""443"", ""nombre"": ""TREBOLÍN SALVADO CRUDO CONGELADO x 7kg*"", ""cantidad"": 5, ""precio_unitario"": 19220.0}]",435200.0,entregado,whatsapp,True
2,1,2026-06-05 09:55:13,"[{""product_code"": ""421"", ""nombre"": ""MEDIALUNA CON MANTECA"", ""cantidad"": 2, ""precio_unitario"": 74650.0}, {""product_code"": ""415"", ""nombre"": ""PAN MIGNON PRECOCIDO X 18un."", ""cantidad"": 2, ""precio_unitario"": 13300.0}]",175900.0,entregado,whatsapp,True
3,2,2026-05-19 09:55:13,"[{""product_code"": ""442"", ""nombre"": ""BAGUETTE SALVADO CRUDO CONGELADO x 7kg*"", ""cantidad"": 4, ""precio_unitario"": 19220.0}, {""product_code"": ""436"", ""nombre"": ""PAN TREBOLIN PRECOCIDO x3kg"", ""cantidad"": 2, ""precio_unitario"": 12500.0}]",101880.0,entregado,whatsapp,True
4,2,2026-06-02 09:55:13,"[{""product_code"": ""424"", ""nombre"": ""CRIOLLO COMÚN HEXAGONAL x 11kg*"", ""cantidad"": 3, ""precio_unitario"": 45600.0}, {""product_code"": ""421"", ""nombre"": ""MEDIALUNA CON MANTECA"", ""cantidad"": 3, ""precio_unitario"": 74650.0}, {""product_code"": ""448"", ""nombre"": ""HOJALDRITOS ESPECIALES x 5kg"", ""cantidad"": 2, ""precio_unitario"": 24600.0}, {""product_code"": ""429"", ""nombre"": ""CROISSANT"", ""cantidad"": 2, ""precio_unitario"": 43000.0}]",495950.0,entregado,whatsapp,True
5,3,2026-07-16 09:55:13,"[{""product_code"": ""428"", ""nombre"": ""PAN BAGUETTE PRECOCIDO x 30un."", ""cantidad"": 3, ""precio_unitario"": 13300.0}, {""product_code"": ""422-MIX"", ""nombre"": ""FACTURA MIXTA"", ""cantidad"": 3, ""precio_unitario"": 64200.0}]",232500.0,entregado,whatsapp,True
6,3,2026-05-13 09:55:13,"[{""product_code"": ""422"", ""nombre"": ""MEDIALUNA C/ MANTECA SALADA"", ""cantidad"": 1, ""precio_unitario"": 74650.0}, {""product_code"": ""430"", ""nombre"": ""CHIPACA DE GRASA x 5kg*"", ""cantidad"": 4, ""precio_unitario"": 31400.0}, {""product_code"": ""436"", ""nombre"": ""PAN TREBOLIN PRECOCIDO x3kg"", ""cantidad"": 1, ""precio_unitario"": 12500.0}]",212750.0,entregado,whatsapp,True
7,3,2026-05-20 09:55:13,"[{""product_code"": ""442"", ""nombre"": ""BAGUETTE SALVADO CRUDO CONGELADO x 7kg*"", ""cantidad"": 5, ""precio_unitario"": 19220.0}, {""product_code"": ""441"", ""nombre"": ""PAN TREBOLÍN CRUDO CONGELADO x 7kg*"", ""cantidad"": 2, ""precio_unitario"": 18000.0}, {""product_code"": ""427"", ""nombre"": ""CHIPÁ x 5kg*"", ""cantidad"": 1, ""precio_unitario"": 133300.0}]",265400.0,entregado,whatsapp,True
8,4,2026-05-06 09:55:13,"[{""product_code"": ""425"", ""nombre"": ""TORTILLA TUCUMANA x 7.8kg*"", ""cantidad"": 2, ""precio_unitario"": 40200.0}, {""product_code"": ""415"", ""nombre"": ""PAN MIGNON PRECOCIDO X 18un."", ""cantidad"": 1, ""precio_unitario"": 13300.0}]",93700.0,entregado,whatsapp,True
9,4,2026-06-11 09:55:13,"[{""product_code"": ""430"", ""nombre"": ""CHIPACA DE GRASA x 5kg*"", ""cantidad"": 3, ""precio_unitario"": 31400.0}, {""product_code"": ""427"", ""nombre"": ""CHIPÁ x 5kg*"", ""cantidad"": 3, ""precio_unitario"": 133300.0}, {""product_code"": ""448"", ""nombre"": ""HOJALDRITOS ESPECIALES x 5kg"", ""cantidad"": 2, ""precio_unitario"": 24600.0}]",543300.0,entregado,whatsapp,True
10,5,2026-05-01 09:55:13,"[{""product_code"": ""442"", ""nombre"": ""BAGUETTE SALVADO CRUDO CONGELADO x 7kg*"", ""cantidad"": 2, ""precio_unitario"": 19220.0}, {""product_code"": ""415"", ""nombre"": ""PAN MIGNON PRECOCIDO X 18un."", ""cantidad"": 2, ""precio_unitario"": 13300.0}, {""product_code"": ""448"", ""nombre"": ""HOJALDRITOS ESPECIALES x 5kg"", ""cantidad"": 4, ""precio_unitario"": 24600.0}, {""product_code"": ""436"", ""nombre"": ""PAN TREBOLIN PRECOCIDO x3kg"", ""cantidad"": 4, ""precio_unitario"": 12500.0}]",213440.0,entregado,whatsapp,True
