Código Producto (SKU),Nombre,Stock,URL Actual
1841100039,[NO USAR] ACAI SAMBAZON smoothie Blend Organic 2.64G,5,NULL
74987455861,[NO USAR] Red Pepper diced 10x10 -Box 22 lb,0,NULL
89090096,Acai Berry Cubes Tropical 17.6 lb (No Sugar),11,NULL
10855006 006283,ACAI TROPICAL organic packs 3.5 oz,0,NULL
10014,BAG 16 x 13 x 21,14,NULL
10015,BAG Benfresh 0.75lb - Blueberry,2033,NULL
10016,BAG Benfresh 0.75lb - Broccoli,300,NULL
10017,BAG Benfresh 0.75lb - Mango,1266,NULL
10018,BAG Benfresh 0.75lb - Mix berry,190,NULL
10019,BAG Benfresh 0.75lb - Mix tropical,1552,NULL
10020,BAG Benfresh 0.75lb - Pineapple,715,NULL
10021,BAG Benfresh 0.75lb - Spinach,240,NULL
10022,BAG Benfresh 0.75lb - STRAWBERRY,833,NULL
10023,BAG Benfresh 3lb - Blueberry,1383,NULL
10001,BAG Benfresh 3lb - Blueberry organic,3376,NULL
10002,BAG Benfresh 3lb - Broccoli,546,NULL
10024,BAG Benfresh 3lb - Mango,3042,NULL
10004,BAG Benfresh 3lb - Mix berry,7522,NULL
10005,BAG Benfresh 3lb - Mix tropical,4994,NULL
10006,BAG Benfresh 3lb - Pineapple,522,NULL
10007,BAG Benfresh 3lb - Spinach,2808,NULL
10008,BAG Benfresh 3lb - Strawberry,0,NULL
10009,BAG Benfresh 5lb - Blueberry,0,NULL
10025,BAG Benfresh 5lb - Strawberry,0,NULL
10012,BAG Rainforest,0,NULL
10010,BAGS  16 x 24,0,NULL
10011,BAGS 12 x 15,3846,NULL
10027,BAGS 16 x 12 x 30,479,NULL
89090123,BAGS 16 x 14 x 36,113,NULL
10013,BAGS 8 X 10,1000,NULL
10026,BAGS 8x15,1725,NULL
74987455848,Banana Frozen 20 lb,1,NULL
834641,BEAN BLACK DRY 50 lb,22,NULL
89090108,Berenjena - Aubergine 10x10 - 22.04 lb,120,NULL
89010020,Blackberries frozen 30 lb,0,NULL
736952196026,Blackberry frozen -Box 10 lb (2x5lb),0,NULL
89090101,Blue diamond Sorbet SP,4,NULL
89090043,BLUE MAGIC TROPICAL Sorbet 3 gal,0,NULL
74987455849,Blueberries frozen 30 lb,0,NULL
20001,BOX 16 X 12 X 8 RAINFOREST,0,NULL
20002,Boxes -  17 1/14 x 11 1/2 x 7 1/2,0,NULL
10003,Boxes - 12x12x10,0,NULL
20004,Boxes - 12x9x6,2729,NULL
20005,Boxes - 14.75x10.75x9,500,NULL
20006,Boxes - 14x10x6,899,NULL
20007,Boxes - 14x10x8,0,NULL
20008,Boxes - 15x12x6,0,NULL
20009,Boxes - 16x12x10,0,NULL
20010,Boxes - 16x12x8,2934,NULL
20011,Boxes - AB - 18,0,NULL
20012,Boxes - CB - 113,0,NULL
736952201751,"Broccoli Floret frozen 0,75lb BENFRESH",0,NULL
89090012,Butternut 3 lb.,0,NULL
736952201515,CALIFORNIA 20 lb (BroccoliCarrot slicedCauliflower),0,NULL
89090061,Carrot Diced 20 lb,2,NULL
89090014,Carrot Slice Thin,15,NULL
89090205,Carrot Sliced 24 lb (12x2lb),0,NULL
89090015,CAULIFLOWER frozen IQF 15 lb,0,NULL
74987455853,Celery 10x10 frozen IQF,0,NULL
89090104,Coconut Sorbet SP,2,NULL
858000004739,Coconut Tropical Sorbet 3 gal,0,NULL
196852037308,Coconut water 12 LT,0,NULL
89090059,Cranberry 20 lb,35,https://cvlbietibaaehgeimxgw.supabase.co/storage/v1/object/public/products-benfresh/89090059.jpg
89090051,CUT GREEN BEANS 20 lb,0,NULL
89090204,Cut Green Beans 24lb (12x2lb),0,NULL
89090075,CUT GREEN BEANS 30 lb,0,NULL
89090055,Cut Okra 24 lb,39,NULL
89010014,DARK SWEET CHERRIES FROZEN,0,NULL
89090016,Edamame frozen 22lb,294,NULL
89090211,French Fries 14x14mm (6x5lb),0,NULL
